curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
50.0	9	57.1	1.45	0.0	0.04	2022-08-27 15:57:27.794824
445.0	9	163.4	1.64	0.0	0.37	2022-08-27 15:57:28.831629
445.0	9	243.7	2.44	0.0	0.37	2022-08-27 15:57:29.831704
450.0	9	311.6	2.75	0.0	0.38	2022-08-27 15:57:30.778662
610.0	14	290.6	2.61	0.0	0.46	2022-08-27 15:57:31.791645
675.0	14	336.3	2.67	0.0	0.51	2022-08-27 15:57:32.811434
665.0	14	361.3	3.68	0.0	0.5	2022-08-27 15:57:33.786609
780.0	19	320.2	4.98	0.0	0.54	2022-08-27 15:57:34.799995
880.0	19	340.3	6.04	0.0	0.6	2022-08-27 15:57:35.792562
895.0	19	342.5	5.32	0.0	0.61	2022-08-27 15:57:36.816485
945.0	24	285.9	13.44	0.0003464336579545017	0.58	2022-08-27 15:57:37.788992
1055.0	24	210.2	11.77	0.0035223017314893776	0.62	2022-08-27 15:57:38.806871
975.0	24	186.2	11.15	0.0012243759925325186	0.59	2022-08-27 15:57:39.812958
945.0	22	159.0	10.2	0.000963936533194608	0.6	2022-08-27 15:57:40.787239
930.0	22	149.5	8.08	0.0022886134587015564	0.58	2022-08-27 15:57:41.797030
930.0	22	146.5	9.01	0.0003280964098681305	0.6	2022-08-27 15:57:42.780154
935.0	22	147.0	6.69	0.0	0.6	2022-08-27 15:57:43.800128
920.0	21	152.9	7.88	0.0	0.61	2022-08-27 15:57:44.784194
945.0	21	155.6	8.64	0.0	0.62	2022-08-27 15:57:45.785596
925.0	21	154.0	10.78	1.2214933978281847e-05	0.61	2022-08-27 15:57:46.805664
930.0	20	159.0	9.63	0.0	0.63	2022-08-27 15:57:47.813567
945.0	20	159.4	8.19	0.0	0.64	2022-08-27 15:57:48.823976
920.0	20	160.2	7.75	0.0	0.62	2022-08-27 15:57:49.804477
935.0	19	159.8	7.58	0.0	0.64	2022-08-27 15:57:50.792397
900.0	19	167.1	5.52	0.0	0.62	2022-08-27 15:57:51.817401
890.0	19	168.0	9.12	0.0002405185072661907	0.61	2022-08-27 15:57:52.795764
935.0	18	184.8	5.75	0.0	0.65	2022-08-27 15:57:53.828035
830.0	18	198.7	5.01	0.0	0.58	2022-08-27 15:57:54.834124
840.0	18	257.7	2.91	0.0	0.59	2022-08-27 15:57:55.808145
830.0	18	266.4	4.35	0.0	0.58	2022-08-27 15:57:56.815863
785.0	17	278.6	4.63	0.0	0.56	2022-08-27 15:57:57.816628
795.0	17	291.6	3.22	0.0	0.57	2022-08-27 15:57:58.815707
795.0	17	293.9	3.73	0.0	0.57	2022-08-27 15:57:59.826585
750.0	16	217.4	14.13	0.0	0.55	2022-08-27 15:58:00.836192
660.0	16	207.3	12.74	0.0008342022940563086	0.48	2022-08-27 15:58:01.800493
605.0	16	153.4	11.42	0.003952408942578592	0.42	2022-08-27 15:58:02.810362
555.0	15	145.4	10.89	0.0	0.41	2022-08-27 15:58:03.808203
550.0	15	142.6	10.94	0.0002867735922489195	0.41	2022-08-27 15:58:04.809097
565.0	15	129.1	9.74	0.001098738563610624	0.41	2022-08-27 15:58:05.787113
565.0	14	129.1	10.27	0.0	0.43	2022-08-27 15:58:06.783049
530.0	14	129.2	8.99	0.0	0.4	2022-08-27 15:58:07.785486
545.0	14	129.2	10.28	0.0	0.41	2022-08-27 15:58:08.785444
550.0	13	129.2	9.01	0.0	0.43	2022-08-27 15:58:09.785501
505.0	13	131.9	9.77	0.0	0.39	2022-08-27 15:58:10.785966
510.0	13	131.9	8.86	0.0	0.39	2022-08-27 15:58:11.787732
535.0	13	131.9	10.83	0.0	0.41	2022-08-27 15:58:12.787465
510.0	13	131.9	9.65	0.0	0.39	2022-08-27 15:58:13.788674
515.0	13	129.3	9.4	0.00017847183491355272	0.4	2022-08-27 15:58:14.789497
545.0	13	129.3	9.32	0.0	0.42	2022-08-27 15:58:15.791451
500.0	13	125.2	9.67	0.0004900104684054614	0.38	2022-08-27 15:58:16.792420
510.0	13	125.2	9.9	0.0	0.39	2022-08-27 15:58:17.793979
540.0	13	125.2	9.13	0.0	0.42	2022-08-27 15:58:18.795384
525.0	15	114.3	9.28	0.0	0.39	2022-08-27 15:58:19.794849
565.0	15	111.9	9.49	0.0003887229428372683	0.42	2022-08-27 15:58:20.795956
585.0	15	112.1	8.37	0.0	0.43	2022-08-27 15:58:21.798421
560.0	14	116.2	9.04	0.0	0.42	2022-08-27 15:58:22.798434
525.0	14	116.2	8.89	0.0	0.4	2022-08-27 15:58:23.799610
555.0	14	113.4	8.9	4.267030786627126e-05	0.42	2022-08-27 15:58:24.802359
550.0	13	115.7	9.59	0.0	0.43	2022-08-27 15:58:25.801382
505.0	13	118.0	9.29	0.0	0.39	2022-08-27 15:58:26.802946
530.0	13	118.0	9.07	0.0	0.41	2022-08-27 15:58:27.802939
520.0	13	118.0	8.86	0.0	0.4	2022-08-27 15:58:28.804106
505.0	13	115.8	8.46	0.00020104094533920076	0.39	2022-08-27 15:58:29.805248
530.0	13	115.8	9.38	0.0	0.41	2022-08-27 15:58:30.807193
520.0	13	115.8	9.35	0.0	0.4	2022-08-27 15:58:31.809067
515.0	13	114.2	8.36	0.00020045436322330617	0.4	2022-08-27 15:58:32.811067
530.0	13	114.2	8.1	0.0	0.41	2022-08-27 15:58:33.809613
520.0	13	114.2	9.01	0.0	0.4	2022-08-27 15:58:34.810256
500.0	12	114.2	7.96	0.0	0.39	2022-08-27 15:58:35.812123
510.0	12	116.6	8.33	0.0	0.4	2022-08-27 15:58:36.812263
505.0	12	116.6	9.17	0.0	0.4	2022-08-27 15:58:37.813160
