curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
100.0	9	39.9	1.28	0.0	0.08	2022-08-27 16:02:21.891015
435.0	9	155.3	2.44	0.0	0.36	2022-08-27 16:02:22.907456
435.0	9	241.3	2.02	0.0	0.36	2022-08-27 16:02:23.919676
435.0	9	315.1	2.43	0.0	0.36	2022-08-27 16:02:24.911488
620.0	14	277.9	3.79	0.0	0.47	2022-08-27 16:02:25.944297
655.0	14	324.0	2.72	0.0	0.5	2022-08-27 16:02:26.917370
660.0	14	352.5	3.89	0.0	0.5	2022-08-27 16:02:27.948167
790.0	19	305.1	3.31	0.0	0.54	2022-08-27 16:02:28.920879
890.0	19	101.4	2.75	0.0024864668859592323	0.59	2022-08-27 16:02:29.952798
875.0	19	115.7	2.88	0.0	0.6	2022-08-27 16:02:30.954625
885.0	19	124.1	3.81	0.0	0.61	2022-08-27 16:02:31.960243
880.0	19	131.3	4.21	0.0	0.6	2022-08-27 16:02:32.953533
875.0	19	138.3	3.08	0.0	0.6	2022-08-27 16:02:33.961497
870.0	18	145.5	2.7	0.0	0.61	2022-08-27 16:02:34.940140
830.0	18	150.0	2.32	0.0	0.58	2022-08-27 16:02:35.931892
825.0	18	155.6	2.05	0.0	0.58	2022-08-27 16:02:36.931553
835.0	18	160.2	5.27	0.0	0.58	2022-08-27 16:02:37.963980
805.0	17	166.6	2.41	0.0	0.57	2022-08-27 16:02:38.943655
810.0	17	171.2	4.64	0.0	0.58	2022-08-27 16:02:39.936061
795.0	17	175.5	2.8	0.0	0.57	2022-08-27 16:02:40.923901
765.0	16	181.5	2.59	0.0	0.56	2022-08-27 16:02:41.952490
730.0	16	185.2	2.32	0.0	0.53	2022-08-27 16:02:42.934552
750.0	16	188.6	2.58	0.0	0.55	2022-08-27 16:02:43.945886
720.0	15	193.9	1.83	0.0	0.53	2022-08-27 16:02:44.943385
700.0	15	198.1	3.22	0.0	0.52	2022-08-27 16:02:45.949223
700.0	15	202.3	2.67	0.0	0.52	2022-08-27 16:02:46.948589
690.0	14	206.6	1.91	0.0	0.52	2022-08-27 16:02:47.940544
660.0	14	209.9	2.26	0.0	0.5	2022-08-27 16:02:48.967581
645.0	14	212.7	2.55	0.0	0.49	2022-08-27 16:02:49.943651
680.0	14	215.2	1.84	0.0	0.52	2022-08-27 16:02:50.948085
605.0	13	220.5	2.08	0.0	0.47	2022-08-27 16:02:51.951702
605.0	13	224.3	1.98	0.0	0.47	2022-08-27 16:02:52.935223
610.0	13	228.2	2.3	0.0	0.47	2022-08-27 16:02:53.963454
685.0	15	221.7	2.32	0.0	0.51	2022-08-27 16:02:54.952130
700.0	15	230.6	1.75	0.0	0.52	2022-08-27 16:02:55.971490
705.0	15	243.7	2.97	0.0	0.52	2022-08-27 16:02:56.964662
680.0	14	247.0	2.18	0.0	0.52	2022-08-27 16:02:57.967737
670.0	14	253.1	2.57	0.0	0.51	2022-08-27 16:02:58.963527
670.0	14	257.1	3.03	0.0	0.51	2022-08-27 16:02:59.975549
685.0	16	237.0	4.42	0.0	0.5	2022-08-27 16:03:00.972229
750.0	16	251.4	1.84	0.0	0.55	2022-08-27 16:03:01.971648
730.0	16	266.2	3.86	0.0	0.53	2022-08-27 16:03:02.943686
780.0	18	243.9	4.6	0.0	0.55	2022-08-27 16:03:03.984005
845.0	18	257.8	4.41	0.0	0.59	2022-08-27 16:03:04.947963
845.0	18	267.4	4.36	0.0	0.59	2022-08-27 16:03:05.960051
850.0	18	273.8	3.01	0.0	0.6	2022-08-27 16:03:06.972281
785.0	17	284.3	3.55	0.0	0.56	2022-08-27 16:03:07.984105
785.0	17	295.4	3.59	0.0	0.56	2022-08-27 16:03:08.995889
775.0	17	301.1	3.12	0.0	0.55	2022-08-27 16:03:09.991750
860.0	19	283.8	5.76	0.0	0.59	2022-08-27 16:03:10.976591
880.0	19	290.1	5.58	0.0	0.6	2022-08-27 16:03:11.980370
875.0	19	292.3	5.97	0.0	0.6	2022-08-27 16:03:12.967882
850.0	18	300.6	4.41	0.0	0.6	2022-08-27 16:03:13.975721
840.0	18	304.2	5.17	0.0	0.59	2022-08-27 16:03:14.976414
830.0	18	306.5	3.23	0.0	0.58	2022-08-27 16:03:15.983647
840.0	18	307.4	6.45	0.0	0.59	2022-08-27 16:03:16.983627
810.0	18	310.0	4.08	0.0	0.57	2022-08-27 16:03:17.975708
845.0	18	313.8	3.41	0.0	0.59	2022-08-27 16:03:18.999736
830.0	18	315.4	5.32	0.0	0.58	2022-08-27 16:03:20.007285
935.0	20	296.2	7.79	0.0	0.63	2022-08-27 16:03:20.971880
900.0	20	300.4	7.68	0.0	0.61	2022-08-27 16:03:21.969422
930.0	20	303.6	7.41	0.0	0.63	2022-08-27 16:03:22.992946
900.0	19	314.8	5.07	0.0	0.62	2022-08-27 16:03:24.000246
890.0	19	315.5	4.0	0.0	0.61	2022-08-27 16:03:25.003795
875.0	19	318.6	4.36	0.0	0.6	2022-08-27 16:03:25.984188
860.0	18	322.7	6.04	0.0	0.6	2022-08-27 16:03:27.007774
840.0	18	323.4	4.62	0.0	0.59	2022-08-27 16:03:27.996020
830.0	18	324.2	5.01	0.0	0.58	2022-08-27 16:03:28.967760
885.0	23	272.3	11.35	0.0	0.56	2022-08-27 16:03:29.992024
1025.0	23	225.5	8.53	0.00319871557366926	0.62	2022-08-27 16:03:31.001713
935.0	23	226.3	11.45	3.723701359150996e-05	0.59	2022-08-27 16:03:32.000214
945.0	23	192.9	8.61	0.0019703348345408264	0.58	2022-08-27 16:03:33.003659
900.0	21	197.7	6.95	0.0	0.59	2022-08-27 16:03:33.975811
940.0	21	197.0	7.91	0.0005563316725802663	0.61	2022-08-27 16:03:34.985520
930.0	21	199.2	5.89	0.0	0.61	2022-08-27 16:03:36.012256
950.0	20	207.8	7.16	0.0	0.64	2022-08-27 16:03:37.007754
925.0	20	212.3	8.07	0.0	0.62	2022-08-27 16:03:38.012530
935.0	20	216.5	6.12	0.0	0.63	2022-08-27 16:03:38.979737
925.0	19	223.7	6.0	0.0	0.63	2022-08-27 16:03:39.984601
910.0	19	226.1	5.96	0.0	0.62	2022-08-27 16:03:41.009837
890.0	19	228.6	7.47	0.0	0.61	2022-08-27 16:03:42.029695
860.0	18	265.4	5.85	0.0	0.6	2022-08-27 16:03:42.996004
855.0	18	281.2	2.91	0.0	0.6	2022-08-27 16:03:43.991671
835.0	18	283.1	7.28	0.0	0.58	2022-08-27 16:03:45.015719
835.0	17	286.4	3.79	0.0	0.6	2022-08-27 16:03:46.006395
770.0	17	289.1	4.53	0.0	0.55	2022-08-27 16:03:47.009611
805.0	17	294.3	5.16	0.0	0.57	2022-08-27 16:03:48.001201
805.0	17	296.4	4.23	0.0	0.57	2022-08-27 16:03:48.995683
980.0	22	208.7	8.29	0.0017387015229052346	0.62	2022-08-27 16:03:50.004792
985.0	22	213.7	7.66	0.000603085384828784	0.63	2022-08-27 16:03:51.031415
930.0	22	206.5	9.1	0.0007058408328921829	0.59	2022-08-27 16:03:52.025796
920.0	21	205.6	10.08	0.00022799124513618677	0.6	2022-08-27 16:03:53.000829
940.0	21	209.2	8.64	0.0	0.62	2022-08-27 16:03:54.004447
955.0	21	210.4	7.54	0.0	0.63	2022-08-27 16:03:55.012314
915.0	21	215.3	10.4	0.0	0.6	2022-08-27 16:03:56.003856
935.0	21	219.6	5.96	0.0	0.62	2022-08-27 16:03:57.028014
945.0	21	226.7	8.36	0.0	0.62	2022-08-27 16:03:58.001796
935.0	20	222.2	9.44	0.0003005432897930875	0.63	2022-08-27 16:03:59.035783
935.0	20	224.2	8.77	0.0	0.63	2022-08-27 16:04:00.017233
925.0	20	225.1	8.1	0.0	0.62	2022-08-27 16:04:00.996892
935.0	20	231.3	6.42	0.0	0.63	2022-08-27 16:04:02.006177
920.0	19	239.2	6.66	0.0	0.63	2022-08-27 16:04:03.015947
885.0	19	242.8	9.04	0.0	0.61	2022-08-27 16:04:04.019296
885.0	19	255.1	3.82	0.0	0.61	2022-08-27 16:04:05.022707
845.0	18	273.2	3.78	0.0	0.59	2022-08-27 16:04:06.046018
840.0	18	304.9	2.89	0.0	0.59	2022-08-27 16:04:07.025192
820.0	18	313.5	5.27	0.0	0.57	2022-08-27 16:04:08.035815
845.0	17	299.7	6.38	0.0	0.6	2022-08-27 16:04:09.013976
795.0	17	306.2	4.73	0.0	0.57	2022-08-27 16:04:10.022906
775.0	17	308.2	4.51	0.0	0.55	2022-08-27 16:04:11.019632
810.0	17	310.1	4.88	0.0	0.58	2022-08-27 16:04:12.015640
785.0	17	312.2	4.67	0.0	0.56	2022-08-27 16:04:13.017886
790.0	17	313.8	5.18	0.0	0.56	2022-08-27 16:04:14.049002
810.0	22	259.0	7.89	0.0	0.52	2022-08-27 16:04:15.024340
1015.0	22	242.0	7.35	0.0009545178445251584	0.65	2022-08-27 16:04:16.036119
955.0	22	237.5	9.48	0.0004988016594279596	0.61	2022-08-27 16:04:17.060062
854.55	22	234.3	10.12	2.5181305398871877e-05	0.55	2022-08-27 16:04:18.036868
925.0	21	239.0	9.44	0.00018179614592170646	0.61	2022-08-27 16:04:19.016451
940.0	21	246.0	8.92	0.0	0.62	2022-08-27 16:04:20.048502
940.0	21	247.0	6.59	0.0	0.62	2022-08-27 16:04:21.031837
920.0	20	260.4	7.67	0.0	0.62	2022-08-27 16:04:22.047327
935.0	20	261.0	6.21	0.0	0.63	2022-08-27 16:04:23.024061
935.0	20	261.0	7.29	0.0	0.63	2022-08-27 16:04:24.018209
925.0	19	265.5	6.56	0.0	0.63	2022-08-27 16:04:25.054594
905.0	19	276.7	6.35	0.0	0.62	2022-08-27 16:04:26.041660
870.0	19	297.6	5.52	0.0	0.6	2022-08-27 16:04:27.035866
865.0	18	324.2	3.69	0.0	0.61	2022-08-27 16:04:28.045545
845.0	18	331.1	5.31	0.0	0.59	2022-08-27 16:04:29.047739
820.0	18	344.6	3.63	0.0	0.57	2022-08-27 16:04:30.039797
825.0	18	349.1	6.97	0.0	0.58	2022-08-27 16:04:31.040062
1040.0	23	235.5	10.02	0.0028986919348159695	0.63	2022-08-27 16:04:32.050630
990.0	23	222.7	10.51	0.0009672287623289851	0.62	2022-08-27 16:04:33.036096
960.0	23	207.7	9.13	0.0010129709697344039	0.6	2022-08-27 16:04:34.028323
930.0	22	213.2	9.46	0.00017219854492229542	0.6	2022-08-27 16:04:35.044257
925.0	22	211.1	7.49	0.00013510525927927486	0.6	2022-08-27 16:04:36.039906
945.0	22	211.6	8.13	0.0	0.61	2022-08-27 16:04:37.040357
940.0	21	218.2	9.37	0.0	0.62	2022-08-27 16:04:38.027813
915.0	21	220.0	7.37	0.0	0.6	2022-08-27 16:04:39.056419
890.0	21	220.4	7.88	0.0	0.59	2022-08-27 16:04:40.077374
900.0	20	221.8	6.94	0.0	0.61	2022-08-27 16:04:41.045112
940.0	20	225.5	5.84	0.0	0.63	2022-08-27 16:04:42.048534
940.0	20	230.6	9.17	0.0	0.63	2022-08-27 16:04:43.047803
935.0	20	235.8	6.71	0.0	0.63	2022-08-27 16:04:44.039069
940.0	20	237.2	11.39	0.0	0.63	2022-08-27 16:04:45.040103
910.0	20	239.6	7.69	0.0	0.61	2022-08-27 16:04:46.031875
940.0	20	240.6	4.36	0.0	0.63	2022-08-27 16:04:47.055967
925.0	19	237.7	5.7	0.0	0.63	2022-08-27 16:04:48.048447
900.0	19	242.9	5.65	0.0	0.62	2022-08-27 16:04:49.053100
880.0	19	244.1	7.7	0.0	0.6	2022-08-27 16:04:50.064490
865.0	18	276.4	4.4	0.0	0.61	2022-08-27 16:04:51.055736
815.0	18	279.2	3.68	0.0	0.57	2022-08-27 16:04:52.071821
840.0	18	282.5	4.39	0.0	0.59	2022-08-27 16:04:53.043779
825.0	17	275.2	4.12	0.0	0.59	2022-08-27 16:04:54.051531
785.0	17	278.2	3.89	0.0	0.56	2022-08-27 16:04:55.068156
785.0	17	279.8	3.65	0.0	0.56	2022-08-27 16:04:56.048432
790.0	16	288.7	3.91	0.0	0.58	2022-08-27 16:04:57.066633
735.0	16	291.9	5.75	0.0	0.54	2022-08-27 16:04:58.083540
750.0	16	293.9	4.01	0.0	0.55	2022-08-27 16:04:59.055681
730.0	16	296.9	3.86	0.0	0.53	2022-08-27 16:05:00.067823
990.0	21	179.0	9.76	0.002219273911470269	0.63	2022-08-27 16:05:01.087706
965.0	21	186.4	10.51	0.0005433546463140337	0.63	2022-08-27 16:05:02.062260
955.0	21	187.1	6.85	0.0	0.63	2022-08-27 16:05:03.059948
945.0	20	185.9	8.43	0.00029919068918575253	0.63	2022-08-27 16:05:04.076055
920.0	20	184.4	8.44	8.378316915821853e-05	0.62	2022-08-27 16:05:05.089568
920.0	20	195.4	7.61	0.0	0.62	2022-08-27 16:05:06.083989
925.0	19	197.9	7.5	0.0	0.63	2022-08-27 16:05:07.063896
910.0	19	201.2	5.02	0.0	0.62	2022-08-27 16:05:08.072770
885.0	19	231.9	4.43	0.00013769276987782896	0.61	2022-08-27 16:05:09.070461
845.0	18	251.7	3.6	0.0	0.59	2022-08-27 16:05:10.088506
855.0	18	257.6	4.69	0.0	0.6	2022-08-27 16:05:11.100004
830.0	18	264.4	3.44	0.0	0.58	2022-08-27 16:05:12.061630
830.0	17	261.9	2.21	0.0	0.59	2022-08-27 16:05:13.083956
770.0	17	267.8	6.58	0.0	0.55	2022-08-27 16:05:14.084001
810.0	17	269.5	3.23	0.0	0.58	2022-08-27 16:05:15.115777
770.0	17	271.6	2.56	0.0	0.55	2022-08-27 16:05:16.071707
805.0	17	273.2	4.04	0.0	0.57	2022-08-27 16:05:17.068004
785.0	17	274.3	2.99	0.0	0.56	2022-08-27 16:05:18.092607
805.0	17	275.5	3.99	0.0	0.57	2022-08-27 16:05:19.088243
740.0	15	272.9	3.56	0.0	0.55	2022-08-27 16:05:20.079261
690.0	15	275.0	3.82	0.0	0.51	2022-08-27 16:05:21.063467
710.0	15	278.3	3.43	0.0	0.53	2022-08-27 16:05:22.075474
800.0	20	234.0	10.76	0.0	0.54	2022-08-27 16:05:23.082474
885.0	20	238.9	5.2	0.0	0.6	2022-08-27 16:05:24.114925
885.0	20	250.4	5.6	0.0	0.6	2022-08-27 16:05:25.096924
890.0	19	252.7	4.66	0.0	0.61	2022-08-27 16:05:26.114128
890.0	19	261.7	5.74	0.0	0.61	2022-08-27 16:05:27.108015
890.0	19	269.3	6.35	0.0	0.61	2022-08-27 16:05:28.092226
875.0	19	277.6	4.1	0.0	0.6	2022-08-27 16:05:29.103690
840.0	18	286.9	2.97	0.0	0.59	2022-08-27 16:05:30.104393
835.0	18	300.6	3.18	0.0	0.58	2022-08-27 16:05:31.083640
840.0	18	303.9	5.91	0.0	0.59	2022-08-27 16:05:32.086997
785.0	16	302.1	3.52	0.0	0.57	2022-08-27 16:05:33.095576
735.0	16	307.6	5.38	0.0	0.54	2022-08-27 16:05:34.114228
765.0	16	311.3	3.37	0.0	0.56	2022-08-27 16:05:35.100579
810.0	21	278.2	4.58	0.0	0.53	2022-08-27 16:05:36.107715
875.0	21	291.9	3.22	0.0	0.58	2022-08-27 16:05:37.104822
900.0	21	301.1	4.57	0.0	0.59	2022-08-27 16:05:38.127974
885.0	20	305.1	5.07	0.0	0.6	2022-08-27 16:05:39.092041
895.0	20	312.0	5.12	0.0	0.6	2022-08-27 16:05:40.104901
895.0	20	322.7	8.66	0.0	0.6	2022-08-27 16:05:41.092420
865.0	19	326.6	7.28	0.0	0.59	2022-08-27 16:05:42.100287
