#{"t_start": 1661372226.7804112, "env_id": null}
r,l,t
1.89,7,27.151548
2.57,7,49.976701
3.74,7,72.841204
2.0,7,95.564475
-6.0,7,118.387674
0.53,7,140.904881
1.17,7,163.696116
-3.77,7,185.976951
-2.9,7,208.008926
-3.87,7,230.887691
-1.3,7,253.663416
4.9,7,275.629406
8.4,7,298.20934
-6.0,7,320.699563
1.87,7,343.873614
-1.36,7,365.964581
5.11,7,388.912953
-3.5,7,411.590782
-6.0,7,433.753184
-3.13,7,455.927649
3.34,7,478.007397
4.54,7,500.086054
-6.0,7,522.238284
4.66,7,544.694438
1.66,7,567.467535
2.1,7,590.501588
-6.0,7,612.574267
-3.33,7,634.743971
-3.57,7,657.665437
5.24,7,679.771718
-6.0,7,702.326786
-6.0,7,725.262688
1.57,7,747.327842
1.94,7,770.15675
1.49,7,792.923947
-6.0,7,814.990991
3.09,7,838.175883
-1.23,7,860.952085
5.77,7,883.025862
-3.6,7,905.774884
-6.0,7,928.012736
4.47,7,950.865888
5.79,7,973.841375
-3.2,7,995.979428
-6.0,7,1018.176279
-6.0,7,1040.349562
-3.2,7,1062.449592
-3.2,7,1084.558524
-2.9,7,1106.718192
-6.0,7,1128.83114
-3.03,7,1150.904169
-3.1,7,1172.978423
-3.37,7,1195.090386
-6.0,7,1217.243307
-6.0,7,1239.408906
-3.53,7,1261.481311
-3.73,7,1283.577163
-3.63,7,1305.704667
-6.0,7,1327.903878
-3.73,7,1349.977032
-3.7,7,1372.057063
-3.6,7,1394.195487
-6.0,7,1416.37423
-6.0,7,1438.568048
-3.13,7,1460.667628
-2.97,7,1482.75129
-2.93,7,1504.87213
-6.0,7,1526.956121
-2.93,7,1549.063129
-3.23,7,1571.144167
-3.4,7,1593.259342
-6.0,7,1615.421335
-6.0,7,1637.54775
-3.2,7,1659.623243
-3.3,7,1681.725891
-3.4,7,1703.848366
-6.0,7,1725.953341
-3.4,7,1748.038389
-3.33,7,1770.141199
-3.37,7,1792.219395
-6.0,7,1814.34185
-6.0,7,1836.551543
-3.63,7,1858.618773
-3.67,7,1880.698569
-3.63,7,1902.81702
-6.0,7,1924.92591
-3.43,7,1947.016528
-3.4,7,1969.135455
-3.63,7,1991.217918
-3.6,7,2013.356918
-6.0,7,2035.641481
-3.6,7,2057.722415
-3.6,7,2079.836995
-3.63,7,2101.971254
-6.0,7,2124.134914
-3.87,7,2146.284148
-3.87,7,2168.393785
-3.77,7,2190.528476
-6.0,7,2212.682686
-6.0,7,2234.862207
-3.77,7,2256.963174
-3.6,7,2279.077032
-3.77,7,2301.198939
-6.0,7,2323.364148
-6.0,7,2345.570938
-6.0,7,2367.665008
-3.8,7,2389.773341
-3.77,7,2411.913122
-6.0,7,2434.030828
-3.8,7,2456.117917
-6.0,7,2478.21333
-6.0,7,2500.350467
-6.0,7,2522.511069
-6.0,7,2544.628762
-6.0,7,2566.769895
-6.0,7,2588.867105
-6.0,7,2610.964963
-6.0,7,2633.175478
-3.97,7,2655.282771
-6.0,7,2677.355356
-6.0,7,2699.513513
-6.0,7,2721.675941
-6.0,7,2743.800642
-3.87,7,2765.884615
-6.0,7,2787.978448
-6.0,7,2810.129385
-6.0,7,2832.271493
-6.0,7,2854.375819
-6.0,7,2876.482775
-6.0,7,2898.657195
-6.0,7,2920.829255
-6.0,7,2942.998471
-6.0,7,2965.09387
-6.0,7,2987.167161
-3.8,7,3009.328779
-6.0,7,3031.426821
-3.83,7,3053.524091
-3.83,7,3075.639789
-3.77,7,3097.802223
-6.0,7,3120.133554
-6.0,7,3142.322529
-3.77,7,3164.410899
-3.7,7,3186.50174
-3.87,7,3208.680714
-6.0,7,3230.89987
-3.77,7,3253.039507
-3.57,7,3275.155751
-3.6,7,3297.291017
-6.0,7,3319.465473
-6.0,7,3341.576895
-3.83,7,3363.713468
-3.8,7,3385.822757
-3.8,7,3407.971337
-6.0,7,3430.074985
-3.33,7,3452.141681
-3.77,7,3474.248896
-3.67,7,3496.367931
-6.0,7,3518.648637
-6.0,7,3540.769392
-3.4,7,3562.891074
-3.53,7,3584.977881
-3.57,7,3607.105175
-6.0,7,3629.24033
-3.63,7,3651.315008
-3.43,7,3673.45214
-3.53,7,3695.546044
-6.0,7,3717.679989
-6.0,7,3739.971875
-3.57,7,3762.062865
-3.37,7,3784.161114
-3.6,7,3806.287681
-6.0,7,3828.413335
-3.5,7,3850.473981
-3.77,7,3872.573827
-3.63,7,3894.68303
-6.0,7,3916.81173
-6.0,7,3938.935869
-3.57,7,3961.051476
