#{"t_start": 1661051678.427392, "env_id": null}
r,l,t
-0.526667,6,23.535223
3.216667,7,46.611814
1.37,7,69.483793
1.203333,7,92.489096
1.226667,7,115.432311
2.923333,7,138.649015
2.783333,7,160.99384
3.543333,7,183.839962
3.91,7,207.018058
-1.89,7,229.846566
-1.773333,7,252.753029
-0.596667,7,276.001216
1.023333,7,299.211471
2.18,7,322.353339
3.83,7,344.960437
6.08,7,367.719152
1.11,7,390.456477
2.973333,7,413.210569
0.82,7,436.290072
2.296667,7,459.498748
0.426667,7,482.455768
4.35,7,505.241622
0.486667,7,528.107381
-0.653333,7,550.913618
0.286667,7,574.161186
1.406667,7,597.173175
1.126667,7,620.061249
-0.293333,7,643.039825
2.62,7,666.505982
4.64,7,689.947692
-1.563333,7,712.648895
2.063333,7,735.616752
-0.996667,7,758.717587
4.543333,7,781.708929
0.93,7,804.764406
1.903333,7,827.994941
0.71,7,851.004281
1.56,7,873.948317
2.206667,7,897.009867
4.426667,7,919.824107
1.863333,7,943.13598
-1.796667,7,966.273969
0.356667,7,989.143164
1.496667,7,1012.268059
3.273333,7,1035.204893
2.646667,7,1058.489735
-1.95,7,1080.936827
1.013333,7,1104.112787
2.096667,7,1127.048956
9.656667,7,1150.227801
-1.333333,7,1173.725464
1.69,7,1196.92271
8.363333,7,1220.163548
0.85,7,1243.625052
2.756667,7,1266.355138
5.31,7,1289.583946
3.933333,7,1313.02094
2.046667,7,1335.969656
3.166667,7,1359.282954
2.486667,7,1382.652017
3.833333,7,1405.873754
1.57,7,1429.481099
5.43,7,1452.702949
1.936667,7,1475.433165
6.02,7,1498.748604
3.87,7,1522.332584
2.966667,7,1545.03784
0.233333,7,1568.484699
1.28,7,1592.009725
3.39,7,1615.476595
4.49,7,1638.366946
2.526667,7,1661.547131
1.056667,7,1684.925455
11.1,7,1708.047091
7.606667,7,1731.22393
8.026667,7,1754.388826
6.106667,7,1777.455965
4.066667,7,1801.398183
0.923333,7,1824.679339
1.41,7,1848.025206
2.19,7,1871.542124
5.59,7,1894.857783
3.77,7,1918.504912
10.3,7,1941.736969
7.186667,7,1965.339657
6.9,7,1989.041603
4.26,7,2012.293445
9.23,7,2035.980983
12.97,7,2060.268844
9.426667,7,2083.824593
7.216667,7,2107.515614
-2.01,7,2131.010798
3.703333,7,2154.225491
6.72,7,2177.521403
2.7,7,2200.899499
4.99,7,2224.636731
10.3,7,2247.989447
2.223333,7,2271.742861
1.856667,7,2295.292622
5.823333,7,2319.158971
8.166667,7,2342.971894
2.853333,7,2366.814854
1.756667,7,2390.313085
8.99,7,2413.852697
11.376667,7,2437.590658
4.746667,7,2461.353153
11.6,7,2485.483627
5.42,7,2509.094534
14.443333,7,2532.99677
2.94,7,2556.524728
4.186667,7,2579.809436
1.556667,7,2602.873579
8.156667,7,2626.284737
12.27,7,2650.350932
3.69,7,2674.379578
3.07,7,2698.385331
15.483333,7,2722.654319
6.02,7,2746.407045
5.756667,7,2769.951075
13.253333,7,2793.651891
12.37,7,2817.638685
9.59,7,2840.924857
5.96,7,2864.83344
0.393333,7,2888.902416
7.103333,7,2912.754578
0.083333,7,2936.562006
3.04,7,2960.441172
8.016667,7,2984.558928
4.97,7,3008.812105
9.26,7,3033.066063
11.64,7,3057.157602
3.77,7,3081.486355
4.0,7,3105.805499
8.433333,7,3129.632363
0.863333,7,3152.873287
1.13,7,3176.607835
3.703333,7,3200.390636
4.396667,7,3224.513377
1.49,7,3248.200738
5.82,7,3272.035571
12.916667,7,3295.752603
8.89,7,3319.901889
5.486667,7,3343.387006
6.96,7,3367.113174
10.66,7,3390.68891
5.84,7,3414.033655
6.51,7,3437.550085
2.183333,7,3461.650941
11.43,7,3486.278119
7.67,7,3510.477222
-1.57,7,3534.50591
3.25,7,3557.688459
3.183333,7,3581.64455
