#{"t_start": 1660943053.494248, "env_id": null}
r,l,t
5.286667,6,23.784519
9.11,7,46.832947
8.516667,7,69.812161
5.72,7,92.734692
9.16,7,115.677536
9.17,7,138.59484
5.79,7,161.276356
9.74,7,184.176723
8.73,7,207.167799
6.096667,7,230.042843
4.176667,7,252.759153
7.753333,7,275.6383
8.09,7,298.496845
6.343333,7,321.293696
7.866667,7,344.358127
10.13,7,367.355909
9.2,7,390.543694
5.476667,7,413.440377
8.84,7,436.545296
10.17,7,460.211145
7.183333,7,483.116221
12.0,7,506.414515
8.51,7,529.241093
10.73,7,552.279176
7.71,7,575.367999
11.03,7,598.607646
7.66,7,621.619108
5.506667,7,644.617418
11.53,7,668.245757
11.47,7,691.465243
8.49,7,714.020487
4.66,7,736.966154
11.09,7,760.384631
10.76,7,783.609051
5.91,7,806.403537
9.61,7,829.463894
7.576667,7,852.859982
8.11,7,875.666019
7.396667,7,898.899914
8.346667,7,921.783104
8.576667,7,944.843916
5.91,7,967.858897
9.27,7,990.899862
9.613333,7,1014.397366
10.633333,7,1037.592302
6.993333,7,1060.971095
6.98,7,1083.854621
10.17,7,1107.09078
5.163333,7,1130.116601
10.29,7,1153.301854
11.53,7,1176.728675
8.84,7,1199.582307
9.263333,7,1222.983789
11.67,7,1246.561721
8.296667,7,1269.378642
4.04,7,1292.170041
9.46,7,1315.191055
5.206667,7,1338.063904
6.633333,7,1360.83794
8.22,7,1384.261596
11.1,7,1407.612661
10.02,7,1430.915612
5.166667,7,1453.695491
6.29,7,1476.430154
9.33,7,1499.401089
7.546667,7,1522.259301
7.94,7,1545.390143
7.646667,7,1568.496606
10.62,7,1591.927073
6.48,7,1614.9801
7.536667,7,1637.977457
9.133333,7,1661.198967
7.366667,7,1683.90726
9.27,7,1707.157814
10.36,7,1730.298212
9.47,7,1753.123719
5.183333,7,1776.095192
10.48,7,1799.279659
9.4,7,1822.409511
7.07,7,1844.951784
8.91,7,1868.205822
9.99,7,1891.00359
9.63,7,1914.018795
5.883333,7,1937.118557
10.36,7,1960.143639
10.78,7,1983.385422
6.55,7,2005.888053
10.07,7,2029.093552
12.84,7,2052.164356
12.1,7,2075.585243
7.06,7,2098.797426
11.86,7,2122.034637
10.87,7,2145.115664
7.0,7,2167.731452
10.873333,7,2190.821937
12.86,7,2214.097286
10.04,7,2237.428114
7.836667,7,2260.755297
11.31,7,2283.897126
11.0,7,2307.029009
7.493333,7,2329.994724
10.75,7,2353.045956
12.7,7,2376.276427
9.98,7,2399.287033
