#{"t_start": 1661457521.2060063, "env_id": null}
r,l,t
3.886667,7,25.604766
8.54,8,50.151442
-2.216667,8,74.207581
2.003333,8,98.788949
9.83,8,123.479168
7.69,8,148.247534
-2.343333,8,172.538723
6.763333,8,197.340533
8.53,8,221.946427
3.873333,8,246.592098
-2.726667,8,270.629225
3.76,8,295.2736
3.603333,8,320.174578
9.89,8,344.917646
-0.74,8,369.075862
2.933333,8,393.51067
9.83,8,418.261394
12.06,8,443.109782
1.096667,8,467.383982
2.406667,8,491.902137
11.81,8,516.72324
12.33,8,541.55912
1.243333,8,565.867996
-1.49,8,590.269322
12.27,8,615.244714
13.61,8,640.231822
0.933333,8,664.565167
1.413333,8,689.172151
13.49,8,714.000096
12.67,8,738.915862
3.843333,8,763.357826
-0.74,8,787.897184
10.09,8,812.586887
12.44,8,837.477255
2.77,8,861.893738
-0.83,8,886.537024
13.06,8,911.698469
9.95,8,936.801161
6.75,8,961.524026
-1.406667,8,986.008924
6.2,8,1010.826867
12.66,8,1035.801513
4.99,8,1060.172749
-0.823333,8,1084.738372
11.64,8,1109.806066
12.87,8,1134.769975
9.583333,8,1159.276732
-2.94,8,1183.751883
9.47,8,1208.360975
12.28,8,1233.191279
-0.96,8,1257.425468
-2.996667,8,1281.657239
13.68,8,1306.585045
12.94,8,1331.365734
8.133333,8,1355.789721
-2.4,8,1379.790572
9.373333,8,1404.910193
12.03,8,1429.649329
2.31,8,1454.202394
-2.543333,8,1478.342594
11.803333,8,1503.474718
8.566667,8,1528.354587
9.8,8,1553.121861
-2.723333,8,1577.423695
9.253333,8,1602.224375
13.59,8,1627.439202
10.9,8,1652.319101
-2.92,8,1676.59287
6.863333,8,1701.523242
11.13,8,1726.225868
11.44,8,1751.032625
-2.85,8,1775.13972
6.566667,8,1800.103173
4.56,8,1824.856127
9.3,8,1849.386231
-0.476667,8,1873.455102
3.806667,8,1898.443705
13.83,8,1923.448359
11.33,8,1948.278012
-0.323333,8,1972.565811
-1.573333,8,1997.072592
11.34,8,2022.060978
8.06,8,2046.889996
1.606667,8,2071.446625
1.52,8,2095.854105
11.14,8,2120.804334
5.65,8,2145.503992
1.59,8,2170.246111
-1.59,8,2194.652283
10.72,8,2219.291693
3.76,8,2243.899067
2.976667,8,2268.39861
0.736667,8,2292.978646
14.79,8,2318.044496
14.79,8,2343.307162
3.473333,8,2367.641191
0.37,8,2392.077351
6.083333,8,2416.698351
12.26,8,2441.445075
6.706667,8,2465.865735
1.43,8,2490.766473
15.24,8,2515.587545
14.5,8,2540.502268
5.933333,8,2564.78252
-0.43,8,2589.389441
13.64,8,2614.354394
12.7,8,2639.189441
6.796667,8,2663.705423
-2.676667,8,2688.234951
9.79,8,2712.881108
13.53,8,2737.845435
8.36,8,2762.313951
-2.836667,8,2786.844114
14.44,8,2811.743294
12.3,8,2836.587873
10.886667,8,2861.342653
-2.796667,8,2885.627619
12.66,8,2910.676646
15.22,8,2935.670323
11.606667,8,2960.236981
-2.8,8,2984.732103
12.79,8,3009.897764
11.61,8,3034.845652
8.913333,8,3059.325179
-2.72,8,3083.645532
5.183333,8,3108.288011
2.05,8,3133.015473
5.68,8,3157.516828
-2.86,8,3181.769683
11.773333,8,3206.779662
14.29,8,3231.900699
15.03,8,3257.021969
-3.203333,8,3281.356901
10.346667,8,3306.164664
12.26,8,3330.835374
8.433333,8,3355.581574
-2.33,8,3379.644208
9.533333,8,3404.609842
5.65,8,3429.395732
11.29,8,3454.293907
-0.416667,8,3478.561451
5.64,8,3503.320755
11.87,8,3528.234946
14.32,8,3553.278409
-0.493333,8,3577.675969
7.023333,8,3602.367223
12.4,8,3627.210498
13.46,8,3652.199112
0.89,8,3676.403417
3.736667,8,3701.286668
13.44,8,3726.323012
13.61,8,3751.405636
1.523333,8,3775.879027
5.133333,8,3800.725678
13.24,8,3825.842803
14.5,8,3850.984465
1.886667,8,3875.475351
4.406667,8,3900.733695
13.9,8,3926.075558
13.06,8,3951.288487
1.666667,8,3976.020301
5.05,8,4000.710895
12.4,8,4025.799583
5.506667,8,4050.593158
4.036667,8,4075.101172
4.473333,8,4099.975338
13.76,8,4125.274922
9.456667,8,4150.601382
1.5,8,4174.933603
3.886667,8,4199.967264
14.77,8,4225.097044
13.37,8,4250.07503
3.66,8,4274.64981
1.963333,8,4299.459981
12.9,8,4324.876183
15.19,8,4350.062882
3.986667,8,4374.645185
3.69,8,4399.717207
14.53,8,4424.694475
15.2,8,4449.71754
4.53,8,4474.127124
1.766667,8,4498.645399
11.8,8,4523.578532
14.84,8,4548.601308
6.06,8,4573.149529
1.693333,8,4597.866626
10.81,8,4622.490945
14.84,8,4647.806133
5.086667,8,4672.489522
-0.506667,8,4697.442635
13.5,8,4721.977802
14.26,8,4746.772436
6.95,8,4771.327814
-0.23,8,4796.236896
13.9,8,4820.944712
14.17,8,4846.154719
7.213333,8,4870.782975
-0.75,8,4895.771601
12.57,8,4920.38507
14.24,8,4945.675601
9.066667,8,4970.49508
-1.27,8,4995.093643
14.64,8,5020.336989
13.08,8,5045.227072
8.03,8,5069.889818
-2.956667,8,5094.413316
15.27,8,5119.27349
13.47,8,5144.153455
9.183333,8,5168.872483
-2.9,8,5193.717924
13.54,8,5218.831185
14.43,8,5244.095022
10.383333,8,5269.105791
-2.96,8,5293.683017
14.4,8,5318.81344
12.56,8,5343.714464
7.046667,8,5368.333169
-2.96,8,5392.849999
12.97,8,5417.641218
11.13,8,5442.383351
11.386667,8,5467.0412
-2.856667,8,5491.732446
13.23,8,5516.49125
14.36,8,5541.546448
9.003333,8,5566.483084
-2.996667,8,5590.998202
13.07,8,5615.612505
11.11,8,5640.356347
13.82,8,5665.186217
-2.953333,8,5689.847949
11.1,8,5714.587456
14.87,8,5739.664341
14.63,8,5764.58933
-2.646667,8,5788.969582
10.89,8,5813.505102
14.7,8,5838.606698
14.76,8,5863.362373
-2.87,8,5887.877662
11.593333,8,5912.841257
13.86,8,5937.482622
14.29,8,5962.279842
-2.98,8,5986.620648
9.77,8,6011.03083
14.53,8,6036.288799
15.03,8,6061.312113
-0.89,8,6085.617162
6.746667,8,6110.891532
14.53,8,6136.324383
14.7,8,6161.409704
-1.393333,8,6185.85376
8.67,8,6210.789823
15.18,8,6235.582072
13.3,8,6260.875847
-0.693333,8,6285.451035
4.866667,8,6310.035726
13.93,8,6335.316052
11.81,8,6360.193339
-0.7,8,6384.654267
6.66,8,6409.479074
14.72,8,6434.564237
15.31,8,6459.572077
1.133333,8,6483.949217
6.236667,8,6509.186202
13.18,8,6533.742117
14.1,8,6558.849602
