#{"t_start": 1661124862.1311226, "env_id": null}
r,l,t
1.57,6,23.930905
8.4,7,47.289628
4.87,7,70.555041
-0.8,7,93.90039
9.0,7,117.342753
7.93,7,140.402483
2.69,7,163.537145
11.31,7,186.849226
9.97,7,210.423739
2.01,7,233.578428
8.43,7,256.765459
8.86,7,280.211887
8.13,7,303.201295
7.24,7,326.731358
9.57,7,350.029937
10.4,7,373.414753
1.34,7,396.598469
6.24,7,420.059895
8.86,7,443.409243
4.27,7,466.430119
12.96,7,490.193465
12.92,7,514.060053
6.63,7,537.194137
3.1,7,560.706157
12.16,7,584.357631
6.94,7,607.825474
-1.0,7,630.776686
3.93,7,654.255449
11.38,7,678.128054
11.66,7,701.383092
-3.77,7,724.239338
-0.74,7,747.108683
11.17,7,770.53544
2.9,7,794.009407
12.46,7,817.678134
11.34,7,841.151084
6.93,7,864.187058
7.89,7,887.791062
13.0,7,911.346702
12.34,7,934.957639
2.4,7,958.256524
12.86,7,982.137872
11.94,7,1005.794951
4.7,7,1029.08058
11.9,7,1052.374813
12.73,7,1076.416164
10.54,7,1099.831755
5.38,7,1123.583992
10.73,7,1147.065218
12.2,7,1170.703985
5.74,7,1193.938015
13.0,7,1217.589302
12.89,7,1241.339574
9.93,7,1264.493046
6.14,7,1288.016387
12.26,7,1311.581492
12.49,7,1335.214916
-3.1,7,1358.214872
10.79,7,1381.96955
12.64,7,1405.736356
6.63,7,1428.799258
11.92,7,1452.853395
12.9,7,1476.360146
-3.2,7,1499.612919
1.87,7,1522.856684
12.26,7,1546.818594
10.26,7,1570.093718
1.63,7,1593.452509
12.67,7,1617.367751
12.8,7,1641.264581
9.5,7,1664.282247
4.13,7,1687.794326
11.77,7,1711.467657
12.7,7,1735.232518
2.26,7,1758.397659
12.36,7,1782.005771
12.1,7,1805.764257
8.8,7,1828.780819
8.94,7,1852.22896
12.96,7,1875.814034
13.11,7,1899.641353
5.63,7,1923.097405
12.75,7,1946.875108
13.13,7,1970.666364
3.0,7,1993.696097
13.32,7,2017.433595
11.06,7,2040.948175
12.14,7,2064.405607
5.56,7,2087.961219
13.27,7,2111.560687
12.6,7,2135.413422
3.4,7,2158.979967
12.67,7,2182.664574
12.89,7,2206.481537
8.24,7,2229.474163
9.51,7,2253.087831
12.04,7,2276.89087
12.13,7,2300.757933
2.1,7,2324.066349
12.51,7,2347.601059
12.16,7,2371.174581
5.4,7,2394.074772
12.53,7,2417.44943
8.11,7,2440.815804
11.67,7,2464.465343
2.87,7,2488.162707
12.44,7,2511.861824
12.97,7,2535.464314
