#{"t_start": 1661552553.08666, "env_id": null}
r,l,t
3.9,7,25.517919
3.93,8,49.758677
4.54,8,74.332746
3.97,8,98.541321
2.2,8,122.762197
4.03,8,146.94156
3.93,8,171.279906
3.96,8,195.726114
5.87,8,220.544335
5.8,8,245.477386
3.96,8,269.786285
3.94,8,294.064372
4.44,8,318.770711
3.93,8,343.160973
3.03,8,367.466249
3.97,8,392.147837
3.94,8,416.526868
3.17,8,440.775681
3.93,8,465.269729
3.94,8,489.625993
3.94,8,513.986564
2.56,8,538.031496
3.94,8,562.363675
3.91,8,586.939811
3.67,8,611.320632
3.03,8,635.402687
3.93,8,659.788475
3.2,8,684.025887
2.61,8,708.183165
2.6,8,732.28231
2.24,8,756.406233
3.06,8,780.515104
2.63,8,804.806977
1.9,8,828.806966
1.9,8,852.870221
2.57,8,877.062964
1.39,8,901.173916
1.94,8,925.31869
2.67,8,949.494824
2.59,8,973.658442
2.6,8,997.623983
1.87,8,1021.803069
2.22,8,1045.994126
2.56,8,1070.141225
1.89,8,1094.213462
2.63,8,1118.395153
2.66,8,1142.654824
2.1,8,1166.647786
2.96,8,1190.916384
1.49,8,1214.99669
3.29,8,1239.30067
2.63,8,1263.409094
2.24,8,1287.417752
2.6,8,1311.466878
2.24,8,1335.564384
3.03,8,1359.688021
2.63,8,1383.760047
2.34,8,1408.01263
2.55,8,1432.074126
2.24,8,1456.175793
1.06,8,1480.148522
2.66,8,1504.411396
1.9,8,1528.457229
2.63,8,1552.565565
2.2,8,1576.58573
1.1,8,1600.822467
1.86,8,1624.772531
1.05,8,1648.765752
1.46,8,1672.815047
2.6,8,1696.87498
1.08,8,1720.911737
2.27,8,1744.911119
1.07,8,1768.913715
2.57,8,1793.043761
0.59,8,1817.118382
3.0,8,1841.333665
2.24,8,1865.635221
2.11,8,1889.786032
2.62,8,1913.797934
2.62,8,1937.937218
2.6,8,1962.052035
2.26,8,1986.040425
2.56,8,2010.080258
1.06,8,2033.90369
0.56,8,2057.882784
2.6,8,2081.904331
3.0,8,2106.048195
1.92,8,2130.294125
2.69,8,2154.44457
1.07,8,2178.518604
2.64,8,2202.739602
2.64,8,2226.85098
1.53,8,2251.171459
2.6,8,2275.328613
0.49,8,2299.269782
1.06,8,2323.252058
2.61,8,2347.576529
2.06,8,2371.603902
2.6,8,2395.673764
1.06,8,2419.645983
1.05,8,2443.656004
1.87,8,2467.762105
2.63,8,2491.846004
2.64,8,2515.91132
1.87,8,2539.97634
2.63,8,2564.09714
2.64,8,2588.139651
2.73,8,2612.400003
2.62,8,2636.474544
2.6,8,2660.566376
2.56,8,2684.801715
1.47,8,2708.779986
2.59,8,2732.942734
1.8,8,2757.313424
1.45,8,2781.218953
2.23,8,2805.21628
2.64,8,2829.360444
1.91,8,2853.345388
2.64,8,2877.347856
2.6,8,2901.441514
2.69,8,2925.653746
2.63,8,2949.805169
2.64,8,2973.865798
2.97,8,2998.124773
1.43,8,3022.057712
1.47,8,3046.145094
2.61,8,3070.139453
2.07,8,3094.125641
2.97,8,3118.331723
2.63,8,3142.34595
2.56,8,3166.633333
2.7,8,3191.017931
2.94,8,3215.285146
2.63,8,3239.439189
1.87,8,3263.474045
3.97,8,3287.735416
3.0,8,3311.936918
1.85,8,3335.934597
2.63,8,3360.199865
3.31,8,3384.40488
2.6,8,3408.548514
2.62,8,3432.732634
3.33,8,3456.9189
2.64,8,3481.000671
1.9,8,3505.042603
2.24,8,3529.20422
2.61,8,3553.216328
2.72,8,3577.239108
2.96,8,3601.407264
2.96,8,3625.586589
2.6,8,3649.947655
3.0,8,3674.17006
3.0,8,3698.309909
2.98,8,3722.527364
1.94,8,3746.423228
2.64,8,3770.613507
2.61,8,3794.887083
1.91,8,3818.93526
2.66,8,3843.016935
2.63,8,3867.266487
1.06,8,3891.355647
2.63,8,3915.472014
1.07,8,3939.407014
1.07,8,3963.422213
0.5,8,3987.273437
2.63,8,4011.282692
2.63,8,4035.510275
1.92,8,4059.591289
2.67,8,4083.536808
2.6,8,4107.641531
2.73,8,4132.001959
3.27,8,4156.399811
2.63,8,4180.420809
2.6,8,4204.742949
2.63,8,4228.742038
1.9,8,4252.847799
0.99,8,4276.678805
2.67,8,4300.675045
1.91,8,4324.764475
2.16,8,4348.962515
1.94,8,4373.084422
0.59,8,4397.261527
2.59,8,4421.235013
2.24,8,4445.339598
1.89,8,4469.365167
3.3,8,4493.45833
1.87,8,4517.387131
2.6,8,4541.333139
2.63,8,4565.388972
2.3,8,4589.380593
1.89,8,4613.617393
2.63,8,4637.692826
2.64,8,4661.842149
2.64,8,4686.101602
2.67,8,4710.128592
2.26,8,4734.173709
2.15,8,4758.291963
1.9,8,4782.305808
3.33,8,4806.554848
1.8,8,4830.649877
2.53,8,4854.81874
3.66,8,4879.173891
1.07,8,4903.174173
2.6,8,4927.331821
3.04,8,4951.40174
2.97,8,4975.628928
2.97,8,4999.812194
2.94,8,5023.859502
2.27,8,5047.863292
2.64,8,5071.914023
3.17,8,5096.110204
2.97,8,5120.406462
2.24,8,5144.441706
3.64,8,5168.771244
3.97,8,5193.129349
2.67,8,5217.217192
3.26,8,5241.476575
2.34,8,5265.459204
2.64,8,5289.725621
2.63,8,5313.801344
1.86,8,5337.826538
2.65,8,5362.011467
3.64,8,5386.308351
3.9,8,5410.703879
3.3,8,5435.004463
2.66,8,5459.247024
3.27,8,5483.416301
2.27,8,5507.420328
3.67,8,5531.599825
3.67,8,5555.743232
2.96,8,5579.976032
3.9,8,5604.286011
3.3,8,5628.503976
3.73,8,5652.796796
4.51,8,5677.367908
3.98,8,5701.678974
3.96,8,5726.015533
4.0,8,5750.296932
3.94,8,5774.710934
3.93,8,5798.996193
4.34,8,5823.481789
3.95,8,5847.870239
3.94,8,5872.423238
3.84,8,5896.777746
4.53,8,5921.279071
3.94,8,5945.762306
3.66,8,5970.011905
6.14,8,5994.920137
3.94,8,6019.305867
3.93,8,6043.624958
