#{"t_start": 1662216624.015112, "env_id": null}
r,l,t
3.93,6,24.433879
3.94,8,48.255343
4.46,8,72.158773
3.92,8,96.089588
3.96,8,119.895347
3.95,8,143.612835
3.98,8,167.305019
3.93,8,191.026623
6.13,8,215.533186
5.41,8,239.805832
3.96,8,263.626527
5.43,8,287.816239
4.53,8,311.914816
3.0,8,335.744457
3.97,8,359.762901
3.9,8,383.442402
3.9,8,407.606231
2.62,8,431.148377
3.6,8,454.886875
3.6,8,478.62179
2.86,8,502.290258
2.64,8,525.825579
3.61,8,549.523032
3.85,8,573.322685
3.01,8,596.907602
3.36,8,620.780366
3.27,8,644.511113
3.63,8,668.313865
2.61,8,691.873644
2.6,8,715.531983
1.91,8,739.222367
1.91,8,762.906041
2.63,8,786.498457
1.47,8,810.111073
1.85,8,833.58271
2.62,8,857.519214
1.45,8,880.970891
1.51,8,904.540557
1.47,8,928.107945
1.45,8,951.556542
2.16,8,975.085511
2.3,8,998.658404
1.89,8,1022.163369
1.47,8,1045.606115
1.48,8,1069.264308
1.06,8,1092.694679
2.23,8,1116.313128
2.6,8,1140.004929
2.61,8,1163.670592
1.51,8,1187.23355
2.6,8,1210.904324
2.61,8,1234.529523
2.57,8,1258.206979
2.2,8,1281.758973
1.05,8,1305.17324
2.56,8,1328.74596
2.63,8,1352.386593
1.46,8,1376.018506
2.57,8,1399.782514
1.47,8,1423.302875
0.5,8,1446.784621
0.56,8,1470.241807
1.07,8,1493.918616
1.07,8,1517.466013
1.04,8,1541.142012
0.51,8,1564.625689
0.56,8,1588.217561
0.49,8,1611.709534
0.49,8,1635.178435
0.56,8,1658.740354
0.52,8,1682.184795
0.5,8,1705.719292
0.6,8,1729.452578
1.03,8,1752.863761
0.57,8,1776.410312
0.56,8,1799.90319
0.57,8,1823.43581
0.56,8,1846.984261
0.51,8,1870.399641
0.56,8,1893.942256
0.61,8,1917.556813
0.57,8,1941.011695
1.06,8,1964.560119
0.51,8,1988.07824
0.53,8,2011.439358
0.56,8,2034.87101
0.58,8,2058.278337
0.6,8,2081.998413
0.5,8,2105.359488
0.5,8,2128.797113
1.07,8,2152.336215
1.07,8,2175.893703
0.56,8,2199.414701
0.57,8,2222.99924
0.61,8,2246.653902
0.49,8,2270.262268
1.05,8,2293.710194
1.09,8,2317.437333
1.06,8,2341.037601
0.56,8,2364.628522
0.5,8,2388.083006
1.07,8,2411.55854
0.5,8,2434.925335
0.56,8,2458.426564
1.08,8,2481.951044
0.56,8,2505.472488
1.07,8,2529.05319
1.06,8,2552.647132
1.05,8,2576.207923
0.53,8,2599.697669
1.07,8,2623.20123
1.07,8,2646.742651
0.5,8,2670.200571
0.57,8,2693.651182
1.06,8,2717.250705
0.57,8,2740.723057
1.06,8,2764.262041
0.57,8,2787.73912
0.56,8,2811.275198
0.5,8,2834.691152
1.4,8,2858.296458
1.05,8,2881.793594
0.57,8,2905.191492
2.24,8,2928.694675
1.06,8,2952.272827
0.57,8,2975.803637
2.24,8,2999.553966
1.07,8,3023.055934
2.61,8,3046.662825
1.4,8,3070.118825
2.23,8,3093.589965
2.23,8,3117.099267
1.7,8,3140.619296
1.05,8,3164.120105
2.59,8,3187.853561
2.6,8,3211.451862
1.4,8,3234.878421
1.41,8,3258.375116
1.81,8,3281.863525
2.63,8,3305.578519
2.6,8,3329.230367
2.58,8,3352.813627
2.58,8,3376.303111
2.25,8,3400.008185
2.6,8,3423.68668
1.8,8,3447.173845
0.59,8,3470.770505
2.57,8,3494.417233
0.56,8,3517.952722
1.99,8,3541.528778
1.04,8,3564.985304
2.27,8,3588.641677
2.2,8,3612.172646
1.4,8,3635.617447
0.57,8,3659.157081
2.57,8,3682.818007
2.3,8,3706.313028
2.6,8,3729.92746
2.6,8,3753.501253
2.16,8,3777.004677
0.6,8,3800.650376
2.24,8,3824.275233
1.81,8,3847.852242
0.5,8,3871.277933
2.27,8,3895.044262
2.6,8,3918.5592
2.22,8,3942.183539
2.57,8,3965.704288
2.6,8,3989.261069
1.4,8,4012.70093
1.0,8,4036.148166
2.6,8,4059.788432
0.57,8,4083.348612
2.24,8,4106.870055
1.46,8,4130.468259
2.63,8,4154.174116
0.56,8,4177.743078
1.81,8,4201.296337
1.8,8,4224.759662
0.59,8,4248.373202
0.49,8,4271.764049
0.49,8,4295.143548
0.6,8,4318.838241
1.81,8,4342.368773
0.57,8,4365.825106
2.2,8,4389.356754
1.09,8,4412.948769
0.5,8,4436.371943
0.57,8,4459.855048
1.8,8,4483.403712
1.9,8,4507.079477
0.56,8,4530.639289
0.56,8,4554.07315
0.56,8,4577.666279
0.56,8,4601.129347
1.8,8,4624.606769
0.56,8,4648.081058
1.0,8,4671.566889
1.85,8,4695.014786
2.2,8,4718.462693
2.6,8,4742.144522
2.66,8,4765.71053
0.5,8,4789.186809
2.23,8,4812.734927
0.49,8,4836.255264
2.24,8,4859.801382
2.64,8,4883.313101
1.8,8,4906.842481
1.81,8,4930.307393
2.59,8,4953.919322
2.63,8,4977.624366
2.25,8,5001.119769
2.63,8,5024.728992
2.63,8,5048.516267
1.47,8,5072.048294
2.6,8,5095.722255
2.6,8,5119.342576
2.81,8,5143.01988
1.8,8,5166.656873
2.57,8,5190.250478
2.63,8,5214.012584
1.0,8,5237.433045
2.97,8,5261.092017
2.62,8,5284.789112
2.61,8,5308.432682
2.58,8,5332.079081
2.61,8,5355.59667
2.96,8,5379.275788
1.8,8,5402.85276
2.97,8,5426.4462
3.37,8,5450.068444
2.9,8,5473.682005
2.67,8,5497.343034
3.33,8,5520.938009
2.96,8,5544.543645
3.01,8,5568.104965
2.63,8,5591.661712
2.96,8,5615.309241
1.4,8,5638.770147
2.93,8,5662.421376
2.6,8,5686.071674
2.27,8,5709.597966
3.37,8,5733.34735
3.0,8,5756.948367
2.73,8,5780.629488
2.24,8,5804.177248
2.96,8,5827.902151
3.0,8,5851.537283
2.6,8,5875.087253
2.93,8,5898.753031
