#{"t_start": 1662405985.0639539, "env_id": null}
r,l,t
4.45,10,34.775791
3.5,11,68.570377
6.17,11,102.981189
5.8,11,137.44719
5.39,11,171.266553
3.97,11,205.042799
5.5,11,239.067626
3.94,11,272.613526
3.9,11,306.119385
3.94,11,340.117646
3.89,11,373.897095
3.87,11,407.576984
3.27,11,440.899968
3.63,11,474.472984
3.95,11,508.270658
3.9,11,541.705321
3.94,11,575.403438
3.07,11,609.027591
3.9,11,642.682019
3.94,11,676.534782
3.81,11,709.96459
3.35,11,743.482967
3.27,11,776.900969
3.59,11,810.284733
2.26,11,843.770543
2.3,11,877.138996
1.44,11,910.425126
1.05,11,943.81464
0.51,11,977.095854
1.43,11,1010.434762
0.49,11,1043.69671
0.49,11,1076.818033
1.82,11,1110.110143
1.72,11,1143.3749
1.8,11,1176.556743
2.27,11,1209.958317
2.37,11,1243.252958
2.94,11,1276.833732
1.79,11,1310.091999
1.41,11,1343.242154
3.64,11,1376.844966
3.13,11,1410.282428
3.94,11,1443.763246
2.68,11,1477.305825
1.8,11,1510.623441
3.57,11,1544.121078
3.29,11,1577.464935
1.03,11,1610.644688
3.37,11,1644.353574
2.2,11,1677.654472
3.94,11,1711.107034
3.31,11,1744.65491
2.61,11,1778.073751
3.9,11,1812.036783
3.33,11,1845.477906
1.39,11,1878.625501
2.22,11,1911.944513
2.24,11,1945.147539
2.24,11,1978.304566
3.93,11,2012.189547
2.08,11,2045.469651
3.3,11,2079.150087
2.61,11,2112.625951
2.04,11,2145.935353
3.67,11,2179.763947
2.97,11,2213.194855
3.9,11,2246.750256
3.3,11,2280.280785
2.54,11,2313.732442
2.97,11,2347.423762
3.91,11,2381.02765
1.99,11,2414.298316
1.83,11,2447.701781
0.53,11,2481.035651
1.03,11,2514.335759
2.19,11,2547.646093
2.13,11,2581.028654
2.58,11,2614.614501
1.01,11,2647.822483
0.53,11,2681.254762
1.46,11,2714.655917
2.23,11,2747.90141
1.01,11,2781.149392
1.02,11,2814.492127
0.99,11,2847.679755
3.29,11,2880.942727
0.5,11,2914.077004
0.5,11,2947.333186
2.27,11,2980.692625
0.53,11,3014.004272
0.54,11,3047.322173
0.51,11,3080.756268
1.83,11,3114.05738
0.49,11,3147.285686
0.52,11,3180.37981
0.53,11,3213.756202
2.67,11,3247.247029
1.43,11,3280.584782
2.8,11,3313.906858
5.41,11,3348.198829
1.07,11,3381.655655
5.99,11,3415.871854
2.66,11,3449.219329
2.24,11,3482.721333
4.23,11,3516.494848
1.01,11,3549.718928
0.43,11,3582.829677
2.27,11,3616.195952
3.93,11,3649.808403
4.0,11,3683.63665
1.43,11,3716.91988
2.61,11,3750.366972
5.38,11,3784.573891
1.0,11,3817.758293
2.33,11,3851.107637
4.97,11,3885.10596
0.57,11,3918.425927
1.0,11,3951.655083
0.5,11,3984.860051
1.01,11,4018.140418
5.44,11,4052.240089
2.2,11,4085.460478
3.69,11,4118.9612
5.4,11,4153.111181
4.49,11,4187.010442
1.05,11,4220.415936
1.44,11,4253.671177
1.03,11,4286.921192
0.49,11,4320.243038
3.33,11,4353.671131
0.76,11,4387.022849
2.31,11,4420.607099
0.49,11,4453.80147
1.4,11,4487.283335
1.0,11,4520.640912
1.43,11,4553.892785
