#{"t_start": 1661258181.6065865, "env_id": null}
r,l,t
1.46,6,23.648906
6.4,7,46.7486
5.0,7,69.559691
1.53,7,92.532184
6.87,7,115.512481
10.36,7,138.653143
8.83,7,161.495649
11.0,7,184.507027
10.34,7,207.604029
6.24,7,230.61396
1.37,7,253.433907
-3.2,7,276.54254
11.7,7,299.594362
10.54,7,322.851738
7.5,7,345.674172
-6.0,7,368.407954
3.93,7,391.647136
9.69,7,415.057754
9.17,7,438.169055
-3.27,7,460.918472
2.37,7,484.345083
11.1,7,507.589446
8.53,7,530.370065
2.21,7,553.044538
-3.53,7,576.119458
6.9,7,599.003303
-1.07,7,621.692775
1.4,7,644.465213
-6.0,7,667.271319
7.5,7,690.499318
3.53,7,713.275278
0.97,7,736.041247
-0.86,7,759.000241
-0.47,7,782.135699
11.09,7,805.581968
10.48,7,828.833125
3.63,7,851.597642
-6.0,7,874.612337
10.98,7,897.579946
6.83,7,920.684682
4.21,7,944.025842
-6.0,7,966.719522
0.97,7,989.796158
7.19,7,1013.394995
11.8,7,1036.464999
-0.8,7,1059.087656
-6.0,7,1081.74678
10.21,7,1104.745425
6.49,7,1127.943034
6.84,7,1150.784671
-6.0,7,1173.442533
10.31,7,1196.804832
11.06,7,1220.102132
13.08,7,1243.661217
-6.0,7,1266.10543
-1.17,7,1288.931379
11.1,7,1312.31674
-0.43,7,1335.054517
-3.1,7,1357.804069
-2.87,7,1381.094191
12.66,7,1404.115979
11.0,7,1427.18163
6.64,7,1449.743349
-6.0,7,1472.33725
9.91,7,1495.636993
10.49,7,1518.679866
8.0,7,1541.576868
-3.17,7,1564.234526
3.43,7,1587.895847
12.89,7,1611.223643
9.44,7,1634.040355
1.43,7,1656.829619
-3.37,7,1679.878545
12.69,7,1702.966114
11.96,7,1726.165057
8.67,7,1749.222626
-6.0,7,1771.895274
8.21,7,1795.271996
10.73,7,1818.431678
11.33,7,1841.453951
-3.2,7,1864.269105
2.33,7,1887.387522
12.6,7,1910.766593
12.06,7,1934.225247
2.86,7,1957.143021
-3.33,7,1980.427632
11.44,7,2003.432818
12.93,7,2026.770104
8.56,7,2049.786971
-6.0,7,2072.519529
9.7,7,2095.864863
12.24,7,2118.935163
13.18,7,2142.384748
-3.0,7,2165.061619
2.07,7,2188.20646
11.86,7,2211.126835
12.84,7,2234.672354
2.9,7,2257.762857
-3.17,7,2280.654508
12.64,7,2304.224751
12.87,7,2327.418454
9.39,7,2350.288905
-6.0,7,2372.804274
8.21,7,2395.93859
12.6,7,2419.113625
12.87,7,2442.550323
-3.17,7,2465.350042
2.5,7,2488.673382
11.26,7,2511.815091
12.85,7,2535.193178
2.79,7,2557.784073
-6.0,7,2580.614882
12.7,7,2604.21929
11.6,7,2627.550728
11.4,7,2650.254505
-6.0,7,2673.063882
9.49,7,2696.22265
12.29,7,2719.282898
12.68,7,2742.090974
-1.57,7,2764.807165
2.44,7,2787.886228
12.73,7,2811.380146
12.37,7,2835.064589
1.84,7,2857.883939
-6.0,7,2880.739722
11.66,7,2904.155427
12.64,7,2927.338622
12.07,7,2950.526395
-6.0,7,2973.338793
8.6,7,2996.959616
11.97,7,3020.038832
12.23,7,3043.48637
-3.27,7,3066.080985
0.2,7,3089.563971
10.61,7,3112.699677
12.6,7,3135.990135
5.23,7,3158.944132
-6.0,7,3181.995816
12.73,7,3205.507746
12.34,7,3228.843274
11.7,7,3251.990869
-6.0,7,3274.614662
6.44,7,3297.865287
11.01,7,3321.19166
8.79,7,3344.310523
-3.23,7,3367.066138
1.87,7,3390.208135
11.15,7,3413.310652
12.56,7,3436.573692
5.6,7,3459.284102
-6.0,7,3482.255146
9.94,7,3505.334747
10.14,7,3528.628366
8.76,7,3551.766588
-6.0,7,3574.402507
-1.17,7,3597.316858
7.12,7,3620.908867
11.5,7,3644.59094
-0.47,7,3667.092526
-6.0,7,3689.632843
10.16,7,3712.832919
11.13,7,3736.282744
5.13,7,3758.992835
-6.0,7,3781.550084
10.8,7,3804.887599
10.9,7,3828.364394
12.69,7,3851.728204
-6.0,7,3874.403811
4.94,7,3897.528805
4.57,7,3920.607182
6.54,7,3943.745113
-0.97,7,3966.493927
-3.77,7,3989.527141
9.2,7,4012.749069
8.63,7,4035.618573
6.77,7,4058.406559
-6.0,7,4081.024323
9.96,7,4104.619515
10.9,7,4127.90264
11.47,7,4151.076499
-6.0,7,4173.816517
1.93,7,4197.29021
10.02,7,4220.294657
11.92,7,4243.608039
2.3,7,4266.532192
-3.0,7,4289.826559
7.44,7,4312.912026
7.77,7,4336.588681
8.56,7,4359.44148
-6.0,7,4381.966012
9.73,7,4405.289679
6.23,7,4428.176593
6.9,7,4451.360844
-6.0,7,4473.95167
1.94,7,4497.289548
9.67,7,4520.348056
7.56,7,4543.673522
2.7,7,4566.461962
-3.8,7,4589.18522
6.46,7,4612.185888
9.96,7,4635.520476
8.73,7,4658.839433
-6.0,7,4681.706699
9.02,7,4704.889481
10.74,7,4728.260029
11.37,7,4751.624918
-3.5,7,4774.120865
5.77,7,4797.470965
8.03,7,4820.81391
9.93,7,4844.013767
2.13,7,4866.783678
-6.0,7,4889.628042
5.47,7,4912.711231
3.71,7,4935.689045
3.78,7,4958.315625
-6.0,7,4980.980561
3.57,7,5004.025666
10.63,7,5027.35711
12.27,7,5050.673036
-3.37,7,5073.202535
2.03,7,5096.56602
11.33,7,5119.91976
12.16,7,5143.111243
1.07,7,5165.892617
-3.07,7,5189.239607
11.83,7,5212.717045
6.63,7,5235.70715
8.11,7,5258.689539
-6.0,7,5281.267034
7.24,7,5304.523774
11.0,7,5327.661556
12.2,7,5350.98717
-3.37,7,5373.617077
3.16,7,5396.943657
9.93,7,5420.201
9.89,7,5443.593376
1.5,7,5466.495251
-3.87,7,5489.849602
12.93,7,5513.100768
10.9,7,5536.429814
6.34,7,5559.342959
-6.0,7,5582.2629
7.67,7,5605.680379
11.48,7,5628.833644
10.7,7,5652.258924
-3.0,7,5675.092254
3.14,7,5698.184338
12.36,7,5721.450922
9.93,7,5744.642177
4.7,7,5767.498726
-3.5,7,5790.677606
12.26,7,5814.0409
11.14,7,5837.629765
10.52,7,5860.535952
-6.0,7,5883.139644
3.33,7,5906.278003
11.47,7,5929.827804
12.27,7,5953.434277
-3.33,7,5976.084334
2.33,7,5999.407086
10.89,7,6022.699247
10.2,7,6045.964454
3.0,7,6068.696161
