curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	0	0.0	0.0	0.0	0.0	2022-08-26 10:03:01.444738
0.0	0	0.0	0.0	0.0	0.0	2022-08-26 10:03:02.417583
0.0	0	0.0	0.0	0.0	0.0	2022-08-26 10:03:03.423246
420.0	18	119.1	2.57	0.0	0.29	2022-08-26 10:03:04.477269
820.0	18	191.2	2.25	0.0	0.57	2022-08-26 10:03:05.455808
830.0	18	242.5	2.67	0.0	0.58	2022-08-26 10:03:06.472411
790.0	14	299.5	2.06	0.0	0.6	2022-08-26 10:03:07.471980
655.0	14	338.4	3.52	0.0	0.5	2022-08-26 10:03:08.483782
655.0	14	381.5	5.09	0.0	0.5	2022-08-26 10:03:09.491737
655.0	15	373.3	3.82	0.0	0.49	2022-08-26 10:03:10.484078
685.0	15	392.2	4.78	0.0	0.51	2022-08-26 10:03:11.495399
695.0	15	407.3	3.57	0.0	0.52	2022-08-26 10:03:12.461786
705.0	15	414.3	3.68	0.0	0.52	2022-08-26 10:03:13.474601
705.0	15	415.7	3.29	0.0	0.52	2022-08-26 10:03:14.455748
695.0	15	418.5	2.81	0.0	0.52	2022-08-26 10:03:15.444290
705.0	15	419.7	4.52	0.0	0.52	2022-08-26 10:03:16.500185
695.0	15	421.1	5.23	0.0	0.52	2022-08-26 10:03:17.487834
700.0	15	424.1	4.34	0.0	0.52	2022-08-26 10:03:18.483529
710.0	15	430.7	4.42	0.0	0.53	2022-08-26 10:03:19.499661
700.0	15	432.1	4.67	0.0	0.52	2022-08-26 10:03:20.467782
685.0	15	432.1	4.4	0.0	0.51	2022-08-26 10:03:21.483792
695.0	15	433.6	5.11	0.0	0.52	2022-08-26 10:03:22.463820
150.0	18	58.9	1.24	0.0	0.11	2022-08-26 10:03:25.172524
825.0	18	145.6	1.95	0.0	0.58	2022-08-26 10:03:26.160588
845.0	18	190.6	5.02	0.0	0.59	2022-08-26 10:03:27.168149
835.0	18	219.4	3.14	0.0	0.58	2022-08-26 10:03:28.150977
835.0	17	256.2	2.68	0.0	0.6	2022-08-26 10:03:29.143887
780.0	17	291.4	2.47	0.0	0.56	2022-08-26 10:03:30.124503
790.0	17	319.7	4.06	0.0	0.56	2022-08-26 10:03:31.167888
815.0	18	321.8	4.57	0.0	0.57	2022-08-26 10:03:32.135705
835.0	18	339.8	3.57	0.0	0.58	2022-08-26 10:03:33.163880
835.0	18	353.7	4.13	0.0	0.58	2022-08-26 10:03:34.164561
845.0	18	362.4	4.36	0.0	0.59	2022-08-26 10:03:35.151932
750.0	16	386.7	4.47	0.0	0.55	2022-08-26 10:03:36.124088
750.0	16	391.8	6.16	0.0	0.55	2022-08-26 10:03:37.147825
760.0	16	397.0	6.3	0.0	0.55	2022-08-26 10:03:38.179859
685.0	14	403.7	4.3	0.0	0.52	2022-08-26 10:03:39.139727
655.0	14	408.4	4.21	0.0	0.5	2022-08-26 10:03:40.139677
635.0	14	414.5	3.13	0.0	0.48	2022-08-26 10:03:41.141570
675.0	15	399.7	3.2	0.0	0.5	2022-08-26 10:03:42.156141
710.0	15	404.9	5.01	0.0	0.53	2022-08-26 10:03:43.159893
685.0	15	413.9	4.14	0.0	0.51	2022-08-26 10:03:44.151464
685.0	15	420.1	3.9	0.0	0.51	2022-08-26 10:03:45.154491
700.0	15	424.3	4.0	0.0	0.52	2022-08-26 10:03:46.175760
700.0	15	426.5	4.35	0.0	0.52	2022-08-26 10:03:47.145787
710.0	15	427.9	5.34	0.0	0.53	2022-08-26 10:03:48.168232
50.0	18	33.9	0.6	0.0	0.04	2022-08-26 10:03:50.106450
855.0	18	133.8	2.65	0.0	0.6	2022-08-26 10:03:51.164461
825.0	18	196.4	4.35	0.0	0.58	2022-08-26 10:03:52.141415
850.0	18	232.9	3.01	0.0	0.6	2022-08-26 10:03:53.192559
750.0	14	292.4	2.75	0.0	0.57	2022-08-26 10:03:54.140446
650.0	14	348.8	3.45	0.0	0.49	2022-08-26 10:03:55.139695
670.0	14	240.1	14.72	0.005558425457175328	0.47	2022-08-26 10:03:56.144912
510.0	15	159.2	11.35	0.004441773574060042	0.36	2022-08-26 10:03:57.144595
475.0	15	123.4	9.46	0.0027275375367423137	0.34	2022-08-26 10:03:58.111315
450.0	15	121.6	8.77	0.0002037905033625433	0.33	2022-08-26 10:03:59.109155
465.0	13	115.5	9.39	0.0007635725012089898	0.36	2022-08-26 10:04:00.111055
400.0	13	118.8	9.39	0.0	0.31	2022-08-26 10:04:01.112263
420.0	13	118.8	9.24	0.0	0.32	2022-08-26 10:04:02.112628
420.0	13	118.8	9.66	0.0	0.32	2022-08-26 10:04:03.113503
420.0	14	112.4	9.63	0.0	0.32	2022-08-26 10:04:04.114331
425.0	14	109.9	8.66	0.00024366471734892786	0.32	2022-08-26 10:04:05.115440
430.0	14	109.9	8.32	0.0	0.33	2022-08-26 10:04:06.119381
430.0	14	109.9	9.25	0.0	0.33	2022-08-26 10:04:07.130672
430.0	14	108.2	9.06	0.0003741414789278174	0.32	2022-08-26 10:04:08.143869
435.0	14	106.4	9.56	2.7577077932822238e-05	0.33	2022-08-26 10:04:09.135981
420.0	14	106.4	9.08	0.0	0.32	2022-08-26 10:04:10.121091
430.0	14	106.4	8.71	0.0	0.33	2022-08-26 10:04:11.156096
420.0	14	102.1	8.89	0.000582977069568597	0.32	2022-08-26 10:04:12.124394
0.0	18	24.1	2.07	0.0	0.0	2022-08-26 10:04:14.498410
595.0	18	47.5	6.67	0.0	0.42	2022-08-26 10:04:15.510335
615.0	18	49.1	6.4	0.0	0.43	2022-08-26 10:04:16.496743
600.0	18	50.4	6.39	0.0	0.42	2022-08-26 10:04:17.498070
585.0	15	53.5	6.29	0.0	0.43	2022-08-26 10:04:18.498800
580.0	15	57.4	6.16	0.0	0.43	2022-08-26 10:04:19.501835
580.0	15	61.0	6.78	0.0	0.43	2022-08-26 10:04:20.502893
575.0	15	66.7	6.82	0.0	0.43	2022-08-26 10:04:21.503426
580.0	15	66.7	6.57	0.0	0.43	2022-08-26 10:04:22.503066
560.0	15	66.6	6.61	0.00030307928554109754	0.41	2022-08-26 10:04:23.503503
590.0	15	66.6	7.01	0.0	0.44	2022-08-26 10:04:24.521849
565.0	15	66.6	7.27	0.0	0.42	2022-08-26 10:04:25.505505
760.0	15	329.4	3.11	0.0	0.56	2022-08-26 10:04:26.552160
710.0	16	406.1	3.62	0.0	0.52	2022-08-26 10:04:27.536123
745.0	16	425.3	4.79	0.0	0.54	2022-08-26 10:04:28.554102
760.0	16	442.2	5.82	0.0	0.55	2022-08-26 10:04:29.547853
730.0	16	445.8	6.65	0.0	0.53	2022-08-26 10:04:30.581229
655.0	13	455.5	3.6	0.0	0.51	2022-08-26 10:04:31.531281
615.0	13	456.4	3.5	0.0	0.48	2022-08-26 10:04:32.560055
615.0	13	461.5	4.75	0.0	0.48	2022-08-26 10:04:33.543393
610.0	13	462.6	4.15	0.0	0.47	2022-08-26 10:04:34.547788
630.0	13	463.1	4.17	0.0	0.49	2022-08-26 10:04:35.563756
605.0	13	463.5	4.72	0.0	0.47	2022-08-26 10:04:36.560410
50.0	18	34.9	1.36	0.0	0.04	2022-08-26 10:04:38.919473
870.0	18	134.0	2.38	0.0	0.61	2022-08-26 10:04:39.956567
825.0	18	190.1	2.93	0.0	0.58	2022-08-26 10:04:40.960088
845.0	18	234.3	4.09	0.0	0.59	2022-08-26 10:04:41.957738
740.0	14	266.9	3.21	0.0	0.56	2022-08-26 10:04:42.944200
660.0	14	330.1	2.16	0.0	0.5	2022-08-26 10:04:43.947720
675.0	14	375.4	2.96	0.0	0.51	2022-08-26 10:04:44.951395
660.0	14	395.6	3.31	0.0	0.5	2022-08-26 10:04:45.947687
655.0	14	399.0	5.08	0.0	0.5	2022-08-26 10:04:46.948047
675.0	14	407.8	3.42	0.0	0.51	2022-08-26 10:04:47.951836
635.0	12	421.8	3.5	0.0	0.5	2022-08-26 10:04:48.953744
585.0	12	427.2	4.33	0.0	0.46	2022-08-26 10:04:49.975979
575.0	12	427.2	4.23	0.0	0.45	2022-08-26 10:04:51.011929
555.0	12	430.8	4.16	0.0	0.44	2022-08-26 10:04:51.955582
565.0	12	430.8	4.84	0.0	0.45	2022-08-26 10:04:52.975539
570.0	12	432.6	5.91	0.0	0.45	2022-08-26 10:04:53.971400
580.0	12	432.6	4.7	0.0	0.46	2022-08-26 10:04:54.953302
555.0	12	432.6	4.74	0.0	0.44	2022-08-26 10:04:55.983687
575.0	12	432.6	4.41	0.0	0.45	2022-08-26 10:04:56.952773
555.0	12	432.6	3.89	0.0	0.44	2022-08-26 10:04:57.959179
585.0	12	432.6	4.71	0.0	0.46	2022-08-26 10:04:58.955087
