curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
400.0	9	51.9	1.18	0.0	0.33	2022-09-05 15:08:56.985814
410.0	9	157.8	1.88	0.0	0.34	2022-09-05 15:08:57.924380
445.0	9	268.0	1.85	0.0	0.37	2022-09-05 15:08:58.927419
430.0	9	357.0	2.9	0.0	0.36	2022-09-05 15:08:59.935549
630.0	14	291.9	3.2	0.0	0.48	2022-09-05 15:09:00.960600
655.0	14	336.7	3.01	0.0	0.5	2022-09-05 15:09:01.951709
645.0	14	356.7	5.97	0.0	0.49	2022-09-05 15:09:02.959069
815.0	19	293.7	5.93	0.0	0.56	2022-09-05 15:09:03.961904
865.0	19	314.7	4.13	0.0	0.59	2022-09-05 15:09:04.940238
860.0	19	326.5	5.08	0.0	0.59	2022-09-05 15:09:05.944940
940.0	24	276.0	9.64	0.0003539173406388863	0.58	2022-09-05 15:09:06.961076
1035.0	24	240.2	9.32	0.0027080745341614906	0.62	2022-09-05 15:09:07.939844
975.0	24	197.0	7.46	0.0038079224568517878	0.57	2022-09-05 15:09:08.941921
950.0	22	193.3	6.73	0.0010763123070136745	0.6	2022-09-05 15:09:09.935808
940.0	22	193.3	10.99	0.0	0.61	2022-09-05 15:09:10.942248
920.0	22	191.9	9.64	0.00016072399980218585	0.59	2022-09-05 15:09:11.948514
940.0	22	191.9	9.49	0.0	0.61	2022-09-05 15:09:12.943642
910.0	21	195.6	10.84	0.0	0.6	2022-09-05 15:09:13.940275
940.0	21	195.6	6.49	0.0	0.62	2022-09-05 15:09:14.939890
940.0	21	195.6	10.3	0.0	0.62	2022-09-05 15:09:15.948276
925.0	21	195.6	8.5	0.0	0.61	2022-09-05 15:09:16.945850
940.0	21	195.6	8.2	0.0	0.62	2022-09-05 15:09:17.954143
940.0	21	195.6	6.75	0.0	0.62	2022-09-05 15:09:18.946417
925.0	20	194.4	10.25	0.0	0.62	2022-09-05 15:09:19.968340
940.0	20	194.4	6.61	0.0	0.63	2022-09-05 15:09:20.946141
935.0	20	194.4	6.37	0.0	0.63	2022-09-05 15:09:21.947974
935.0	19	198.9	10.33	0.0	0.64	2022-09-05 15:09:22.968076
880.0	19	202.3	7.0	0.0	0.6	2022-09-05 15:09:23.954274
880.0	19	218.7	7.05	0.0	0.6	2022-09-05 15:09:24.976302
840.0	18	242.6	6.55	0.0	0.59	2022-09-05 15:09:25.988082
820.0	18	271.3	2.97	0.0	0.57	2022-09-05 15:09:26.964535
830.0	18	296.7	4.02	0.0	0.58	2022-09-05 15:09:28.005430
800.0	18	299.8	4.85	0.0	0.56	2022-09-05 15:09:28.964124
800.0	17	289.5	3.7	0.0	0.57	2022-09-05 15:09:29.988485
785.0	17	292.6	3.59	0.0	0.56	2022-09-05 15:09:30.964501
760.0	17	296.5	3.67	0.0	0.54	2022-09-05 15:09:31.978197
795.0	17	299.0	3.28	0.0	0.57	2022-09-05 15:09:32.976310
780.0	17	300.9	4.2	0.0	0.56	2022-09-05 15:09:33.955926
815.0	17	302.4	4.59	0.0	0.58	2022-09-05 15:09:34.963343
865.0	22	245.5	9.52	0.0001523886927589973	0.56	2022-09-05 15:09:36.044371
980.0	22	226.0	8.83	0.0009328113093517618	0.62	2022-09-05 15:09:36.976262
955.0	22	232.7	9.04	0.0	0.62	2022-09-05 15:09:37.964566
945.0	21	239.2	5.72	0.00012949826616210304	0.62	2022-09-05 15:09:39.004385
925.0	21	240.6	8.11	0.0	0.61	2022-09-05 15:09:39.964320
925.0	21	239.2	4.79	0.00020813947793721534	0.61	2022-09-05 15:09:40.980336
925.0	21	237.2	8.15	1.2402024010318484e-05	0.61	2022-09-05 15:09:41.974299
895.0	20	246.6	7.75	0.0	0.6	2022-09-05 15:09:43.003733
925.0	20	252.0	9.07	0.0	0.62	2022-09-05 15:09:44.020247
925.0	20	254.4	6.45	0.0	0.62	2022-09-05 15:09:44.975421
875.0	19	262.3	3.62	0.0	0.6	2022-09-05 15:09:45.992917
865.0	19	268.7	7.42	0.0	0.59	2022-09-05 15:09:47.002484
885.0	19	276.6	4.87	0.0	0.61	2022-09-05 15:09:47.979436
