curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	0	0.0	0.0	0.0	0.0	2022-08-29 18:06:26.788693
485.0	10	164.0	1.76	0.0	0.4	2022-08-29 18:06:27.826995
480.0	10	256.7	1.62	0.0	0.39	2022-08-29 18:06:28.818764
465.0	10	327.4	2.31	0.0	0.38	2022-08-29 18:06:29.810836
480.0	10	364.9	2.84	0.0	0.39	2022-08-29 18:06:30.810935
500.0	10	377.5	2.73	0.0	0.41	2022-08-29 18:06:31.839045
480.0	10	400.0	3.05	0.0	0.39	2022-08-29 18:06:32.819727
525.0	12	354.7	3.09	0.0	0.41	2022-08-29 18:06:33.820422
580.0	12	376.1	4.37	0.0	0.46	2022-08-29 18:06:34.851779
565.0	12	391.9	3.99	0.0	0.45	2022-08-29 18:06:35.835666
585.0	12	402.5	3.88	0.0	0.46	2022-08-29 18:06:36.826432
575.0	12	410.5	4.74	0.0	0.45	2022-08-29 18:06:37.823034
565.0	12	412.3	3.13	0.0	0.45	2022-08-29 18:06:38.830868
585.0	14	370.2	4.23	0.0	0.44	2022-08-29 18:06:39.819193
660.0	14	382.0	3.67	0.0	0.5	2022-08-29 18:06:40.815495
680.0	14	390.8	5.7	0.0	0.52	2022-08-29 18:06:41.831516
655.0	14	396.6	3.84	0.0	0.5	2022-08-29 18:06:42.855501
655.0	14	408.6	4.57	0.0	0.5	2022-08-29 18:06:43.834579
660.0	14	414.4	5.5	0.0	0.5	2022-08-29 18:06:44.847574
650.0	14	421.4	5.7	0.0	0.49	2022-08-29 18:06:45.823543
670.0	14	424.5	4.94	0.0	0.51	2022-08-29 18:06:46.839558
655.0	14	424.6	5.24	0.0	0.5	2022-08-29 18:06:47.867642
660.0	14	424.6	4.3	0.0	0.5	2022-08-29 18:06:48.855537
0.0	0	0.0	0.0	0.0	0.0	2022-08-29 18:06:51.168988
445.0	10	115.1	7.78	0.0	0.37	2022-08-29 18:06:52.197794
435.0	10	118.8	8.09	0.0	0.36	2022-08-29 18:06:53.192175
420.0	10	121.5	7.45	0.0002987912535651229	0.34	2022-08-29 18:06:54.203957
460.0	12	114.2	8.03	0.0	0.36	2022-08-29 18:06:55.194033
470.0	12	118.0	9.08	0.0	0.37	2022-08-29 18:06:56.203820
480.0	12	118.0	8.2	0.0	0.38	2022-08-29 18:06:57.207096
525.0	14	107.9	8.47	0.0	0.4	2022-08-29 18:06:58.203807
535.0	14	108.7	10.16	0.0	0.41	2022-08-29 18:06:59.211601
535.0	14	107.1	8.84	0.0002859279461575683	0.4	2022-08-29 18:07:00.181217
535.0	16	99.7	8.59	0.0	0.39	2022-08-29 18:07:01.175372
685.0	16	119.3	6.01	0.0008184377659922739	0.49	2022-08-29 18:07:02.203537
760.0	16	234.4	3.76	0.0	0.55	2022-08-29 18:07:03.231684
750.0	21	233.2	4.09	0.0	0.49	2022-08-29 18:07:04.205827
950.0	21	229.9	13.23	0.0	0.63	2022-08-29 18:07:05.241847
980.0	21	175.0	7.77	0.0018984510090811256	0.63	2022-08-29 18:07:06.260390
935.0	21	169.3	7.46	0.0005230392407001072	0.61	2022-08-29 18:07:07.236252
975.0	23	151.8	8.6	0.0007427701674277017	0.61	2022-08-29 18:07:08.243951
940.0	23	151.3	8.0	0.00021227975974926015	0.59	2022-08-29 18:07:09.230719
955.0	23	148.9	8.89	0.0001869997756002693	0.6	2022-08-29 18:07:10.225022
940.0	25	130.8	10.5	0.0009539067372720713	0.56	2022-08-29 18:07:11.239684
935.0	25	122.6	9.76	0.0008431156365523056	0.56	2022-08-29 18:07:12.208011
935.0	25	122.4	9.45	0.0001939370431873553	0.57	2022-08-29 18:07:13.228828
0.0	0	0.0	0.0	0.0	0.0	2022-08-29 18:07:15.607928
450.0	10	143.1	1.47	0.0	0.37	2022-08-29 18:07:16.625004
495.0	10	218.1	3.21	0.0	0.41	2022-08-29 18:07:17.633272
