	curr_thrpt	goodput	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0	66.67	4695	8	67.4	0.95	0.0	-57.0	2022-07-18 20:54:33.525317
1	72.0	6365	8	84.6	0.91	0.0	-61.0	2022-07-18 20:54:34.557005
2	75.0	4735	8	88.9	1.27	0.0	-64.0	2022-07-18 20:54:35.528442
3	74.0	5729	8	89.4	1.01	0.0	-63.0	2022-07-18 20:54:36.568439
4	73.0	6044	8	89.9	1.03	0.0	-62.0	2022-07-18 20:54:37.531548
5	77.0	5951	8	89.9	0.96	0.0	-66.0	2022-07-18 20:54:38.596436
6	73.0	6258	8	89.9	0.89	0.0	-62.0	2022-07-18 20:54:39.555854
7	72.0	6566	8	90.2	1.09	0.0	-61.0	2022-07-18 20:54:40.540438
8	75.0	6891	8	90.2	0.93	0.0	-64.0	2022-07-18 20:54:41.556450
9	73.0	5953	8	90.0	0.85	0.0	-62.0	2022-07-18 20:54:42.552427
10	74.0	5090	8	90.0	1.14	0.0	-63.0	2022-07-18 20:54:43.640449
11	75.0	5823	8	90.0	0.92	0.0	-64.0	2022-07-18 20:54:44.556295
12	70.0	5504	8	90.0	1.35	0.0	-60.0	2022-07-18 20:54:45.536372
13	72.0	4760	8	90.0	1.09	0.0	-61.0	2022-07-18 20:54:46.544447
14	75.0	5713	8	90.0	1.01	0.0	-64.0	2022-07-18 20:54:47.531692
15	74.0	6632	8	90.0	0.95	0.0	-63.0	2022-07-18 20:54:48.531173
16	73.0	5438	8	90.0	1.31	0.0	-62.0	2022-07-18 20:54:49.560420
17	74.0	6217	8	90.0	0.89	0.0	-63.0	2022-07-18 20:54:50.583803
18	76.0	6165	8	90.0	1.08	0.0	-65.0	2022-07-18 20:54:51.668481
19	73.0	6426	8	90.0	0.95	0.0	-62.0	2022-07-18 20:54:52.542335
20	72.0	5722	8	90.0	1.14	0.0	-61.0	2022-07-18 20:54:53.552435
21	74.0	6473	8	90.0	0.94	0.0	-63.0	2022-07-18 20:54:54.547508
22	73.0	5236	8	90.0	1.13	0.0	-62.0	2022-07-18 20:54:55.556412
23	75.0	6243	8	90.0	1.22	0.0	-64.0	2022-07-18 20:54:56.570011
24	75.0	5666	8	90.0	1.05	0.0	-64.0	2022-07-18 20:54:57.656519
25	72.0	6038	8	90.0	1.0	0.0	-61.0	2022-07-18 20:54:58.528295
26	74.0	5302	8	90.0	1.04	0.0	-63.0	2022-07-18 20:54:59.560466
27	72.0	6031	8	90.0	0.97	0.0	-61.0	2022-07-18 20:55:00.620434
28	67.27	6365	8	90.0	1.06	0.0	-57.0	2022-07-18 20:55:01.536304
29	75.0	5422	8	90.0	1.02	0.0	-64.0	2022-07-18 20:55:02.608393
30	70.0	6137	8	90.0	0.98	0.0	-60.0	2022-07-18 20:55:03.560385
31	76.0	5415	8	90.0	1.14	0.0	-65.0	2022-07-18 20:55:04.588266
32	71.0	6098	8	90.0	0.97	0.0	-61.0	2022-07-18 20:55:05.568821
33	73.0	6138	8	90.0	1.11	0.0	-62.0	2022-07-18 20:55:06.620455
34	73.0	5264	8	90.0	0.96	0.0	-62.0	2022-07-18 20:55:07.572426
35	76.0	5593	8	90.0	0.9	0.0	-65.0	2022-07-18 20:55:08.573407
36	71.0	5561	8	90.0	0.9	0.0	-61.0	2022-07-18 20:55:09.579562
37	77.0	5132	8	90.0	0.95	0.0	-66.0	2022-07-18 20:55:10.703528
38	72.0	6961	8	90.0	0.87	0.0	-61.0	2022-07-18 20:55:11.649454
39	73.0	6365	8	90.0	0.95	0.0	-62.0	2022-07-18 20:55:12.572426
40	75.0	5542	8	90.0	1.19	0.0	-64.0	2022-07-18 20:55:13.571482
41	75.0	5864	8	90.0	0.97	0.0	-64.0	2022-07-18 20:55:14.636365
42	71.0	6320	8	90.0	0.79	0.0	-61.0	2022-07-18 20:55:15.612333
43	75.0	6526	8	90.0	0.91	0.0	-64.0	2022-07-18 20:55:16.616514
44	73.0	5581	8	90.0	1.2	0.0	-62.0	2022-07-18 20:55:17.652603
45	73.0	6774	8	90.0	0.77	0.0	-62.0	2022-07-18 20:55:18.571534
46	75.0	5453	8	90.0	1.08	0.0	-64.0	2022-07-18 20:55:19.592425
