	curr_thrpt	goodput	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
1	897.58	1032	16	191.4	10.36	0.0	-654.0	2022-07-19 15:25:24.867325
2	905.97	1078	16	191.4	10.54	0.0	-660.0	2022-07-19 15:25:25.864736
3	864.03	955	16	191.4	10.09	0.0	-629.0	2022-07-19 15:25:26.864254
4	855.64	952	16	192.6	9.17	0.0	-623.0	2022-07-19 15:25:27.853448
5	805.31	1115	16	202.5	8.88	0.0	-587.0	2022-07-19 15:25:28.854797
6	897.58	1506	16	216.2	7.24	0.0	-654.0	2022-07-19 15:25:29.858903
7	931.14	1063	16	210.1	8.88	0.0	-678.0	2022-07-19 15:25:30.858288
8	872.42	1233	16	211.0	8.7	0.0	-636.0	2022-07-19 15:25:31.860570
9	838.86	984	16	204.2	8.55	0.0	-611.0	2022-07-19 15:25:32.860873
10	880.8	1259	16	203.9	8.3	0.0	-642.0	2022-07-19 15:25:33.861651
11	897.58	1133	16	205.1	8.72	0.0	-654.0	2022-07-19 15:25:34.861159
12	880.8	1119	16	200.4	8.55	0.0	-642.0	2022-07-19 15:25:35.862905
13	880.8	981	16	201.6	8.88	0.0	-642.0	2022-07-19 15:25:36.864005
14	808.36	988	16	200.9	9.14	0.0	-589.0	2022-07-19 15:25:37.865147
15	864.03	912	16	200.9	8.89	0.0	-629.0	2022-07-19 15:25:38.864545
16	830.47	1146	16	202.3	8.1	0.0	-605.0	2022-07-19 15:25:39.865548
17	830.47	1274	16	199.2	7.36	0.0	-605.0	2022-07-19 15:25:40.867304
18	931.14	1105	16	195.2	8.52	0.0	-678.0	2022-07-19 15:25:41.867507
19	880.8	1181	16	201.2	8.64	0.0	-642.0	2022-07-19 15:25:42.869704
20	864.03	1227	16	197.6	8.17	0.0	-629.0	2022-07-19 15:25:43.870669
21	880.8	1236	16	185.3	7.68	0.0	-642.0	2022-07-19 15:25:44.872449
22	855.64	1265	16	184.8	7.95	0.0	-623.0	2022-07-19 15:25:45.871931
23	880.8	1176	16	186.3	8.05	0.0	-642.0	2022-07-19 15:25:46.873559
24	880.8	1095	16	186.4	8.3	0.0	-642.0	2022-07-19 15:25:47.888709
25	872.42	1133	16	184.8	8.22	0.0	-636.0	2022-07-19 15:25:48.888739
26	864.03	1380	16	190.5	7.87	0.0	-629.0	2022-07-19 15:25:49.891356
27	872.42	1206	16	188.1	8.18	0.0	-636.0	2022-07-19 15:25:50.877449
28	864.03	1013	16	198.2	8.76	0.0	-629.0	2022-07-19 15:25:51.877529
29	880.8	1164	16	196.3	8.38	0.0	-642.0	2022-07-19 15:25:52.880334
30	813.69	1277	16	199.8	7.27	0.0	-593.0	2022-07-19 15:25:53.879787
31	914.36	1438	16	189.8	7.95	0.0	-666.0	2022-07-19 15:25:54.880723
32	889.19	1099	16	190.4	8.25	0.0	-648.0	2022-07-19 15:25:55.880645
33	847.25	1548	16	207.1	6.76	0.0	-617.0	2022-07-19 15:25:56.881805
34	922.75	1169	16	192.1	8.13	0.0	-672.0	2022-07-19 15:25:57.882659
35	855.64	1259	16	190.3	8.18	0.0	-623.0	2022-07-19 15:25:58.883848
36	880.8	1199	16	186.0	8.38	0.0	-642.0	2022-07-19 15:25:59.884050
37	864.03	1335	16	180.1	8.3	0.0	-629.0	2022-07-19 15:26:00.885650
38	897.58	1216	16	170.8	8.16	0.0	-654.0	2022-07-19 15:26:01.888065
39	855.64	1414	16	188.4	7.68	0.0	-623.0	2022-07-19 15:26:02.887056
40	880.8	1163	16	187.3	8.36	0.0	-642.0	2022-07-19 15:26:03.888455
41	872.42	1193	16	182.2	7.97	0.0	-636.0	2022-07-19 15:26:04.889059
42	872.42	1483	16	187.5	8.07	0.0	-636.0	2022-07-19 15:26:05.890959
43	872.42	1303	16	182.0	8.04	0.0	-636.0	2022-07-19 15:26:06.890030
44	880.8	1214	16	174.8	8.38	0.0	-642.0	2022-07-19 15:26:07.891990
