curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
33.33	1	117.0	1.15	0.0	-33.0	2022-07-29 15:55:09.113309
50.0	1	283.0	2.08	0.0	-49.0	2022-07-29 15:55:10.063462
50.0	1	291.0	2.57	0.0	-49.0	2022-07-29 15:55:11.060903
50.0	1	316.0	2.73	0.0	-49.0	2022-07-29 15:55:12.064244
120.0	3	224.0	2.45	0.0	-113.0	2022-07-29 15:55:13.093073
140.0	3	305.3	2.74	0.0	-132.0	2022-07-29 15:55:14.116733
140.0	3	346.0	3.14	0.0	-132.0	2022-07-29 15:55:15.079518
140.0	3	353.0	2.59	0.0	-132.0	2022-07-29 15:55:16.097598
150.0	3	353.0	2.91	0.0	-141.0	2022-07-29 15:55:17.077041
135.0	3	366.3	2.76	0.0	-127.0	2022-07-29 15:55:18.105512
145.0	3	394.7	3.22	0.0	-137.0	2022-07-29 15:55:19.085006
210.0	5	313.6	2.51	0.0	-190.0	2022-07-29 15:55:20.157061
230.0	5	358.6	2.53	0.0	-208.0	2022-07-29 15:55:21.070127
240.0	5	371.2	3.34	0.0	-217.0	2022-07-29 15:55:22.148896
244.51	7	294.7	2.66	0.0	-213.0	2022-07-29 15:55:23.171505
325.49	7	339.4	4.07	0.0	-283.0	2022-07-29 15:55:24.162288
315.0	7	360.7	4.02	0.0	-274.0	2022-07-29 15:55:25.093175
325.0	7	373.3	3.93	0.0	-283.0	2022-07-29 15:55:26.111673
365.0	9	323.8	2.62	0.0	-305.0	2022-07-29 15:55:27.144973
410.0	9	345.1	3.98	0.0	-343.0	2022-07-29 15:55:28.136111
400.0	9	355.3	3.32	0.0	-335.0	2022-07-29 15:55:29.161095
400.0	10	326.8	3.63	0.0	-328.0	2022-07-29 15:55:30.125253
455.0	10	351.0	3.86	0.0	-373.0	2022-07-29 15:55:31.229343
440.0	10	361.0	3.37	0.0	-361.0	2022-07-29 15:55:32.161179
455.0	10	369.5	3.17	0.0	-373.0	2022-07-29 15:55:33.195235
505.0	12	342.1	4.59	0.0	-398.0	2022-07-29 15:55:34.141085
525.0	12	354.1	3.43	0.0	-414.0	2022-07-29 15:55:35.105875
535.0	12	366.8	4.31	0.0	-422.0	2022-07-29 15:55:36.157445
525.87	14	327.6	4.14	0.0	-399.0	2022-07-29 15:55:37.094157
624.13	14	344.4	4.03	0.0	-473.0	2022-07-29 15:55:38.167660
625.0	14	351.6	4.41	0.0	-474.0	2022-07-29 15:55:39.157679
620.0	14	360.6	3.4	0.0	-470.0	2022-07-29 15:55:40.197301
675.0	16	331.9	8.46	0.0	-492.0	2022-07-29 15:55:41.145153
695.0	16	345.0	3.32	0.0	-506.0	2022-07-29 15:55:42.137204
705.0	16	350.1	3.42	0.0	-514.0	2022-07-29 15:55:43.133729
715.0	16	354.3	5.44	0.0	-521.0	2022-07-29 15:55:44.121863
800.0	19	319.9	6.64	0.0	-549.0	2022-07-29 15:55:45.161608
840.0	19	326.9	5.57	0.0	-577.0	2022-07-29 15:55:46.149535
840.0	19	329.8	6.21	0.0	-577.0	2022-07-29 15:55:47.145596
850.0	21	308.9	11.15	0.0	-561.0	2022-07-29 15:55:48.219585
