	curr_thrpt	goodput	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0	50.0	659	1	72.0	0.7	0.0	-49.0	2022-07-23 18:11:14.417906
1	45.0	641	1	219.0	2.08	0.0	-44.0	2022-07-23 18:11:15.392790
2	50.0	851	1	308.0	2.68	0.0	-49.0	2022-07-23 18:11:16.437097
3	50.0	832	1	323.0	2.98	0.0	-49.0	2022-07-23 18:11:17.397062
4	80.0	1568	2	263.0	2.0	0.0	-77.0	2022-07-23 18:11:18.409063
5	90.0	1513	2	310.5	2.7	0.0	-87.0	2022-07-23 18:11:19.398620
6	95.0	1689	2	338.0	2.93	0.0	-91.0	2022-07-23 18:11:20.405189
7	100.0	3167	4	221.8	2.03	0.0	-92.0	2022-07-23 18:11:21.438361
8	180.0	2017	4	300.2	3.19	0.0	-166.0	2022-07-23 18:11:22.437446
9	195.0	2178	4	332.2	3.38	0.0	-180.0	2022-07-23 18:11:23.501018
10	190.0	3250	4	350.0	2.7	0.0	-176.0	2022-07-23 18:11:24.407555
11	335.0	5594	10	239.5	2.44	0.0	-275.0	2022-07-23 18:11:25.489332
12	445.0	7419	10	298.0	2.6	0.0	-365.0	2022-07-23 18:11:26.445322
13	455.0	4052	10	329.3	3.69	0.0	-373.0	2022-07-23 18:11:27.445387
14	445.0	4351	14	292.9	3.9	0.0	-337.0	2022-07-23 18:11:28.459388
15	695.0	6974	16	275.1	3.55	0.0	-506.0	2022-07-23 18:11:29.432235
16	695.0	11292	16	292.7	2.59	0.0	-506.0	2022-07-23 18:11:30.426946
17	690.0	7469	16	310.3	3.88	0.0	-503.0	2022-07-23 18:11:31.446864
18	845.02	1406	24	268.7	11.23	0.0	-525.0	2022-07-23 18:11:32.457914
19	953.95	1243	24	270.6	12.72	0.0	-593.0	2022-07-23 18:11:33.459771
20	935.04	1242	24	270.6	12.6	0.0	-581.0	2022-07-23 18:11:34.453755
21	919.62	1216	24	270.6	12.87	0.0	-572.0	2022-07-23 18:11:35.477770
22	1018.38	1187	29	238.4	14.36	0.0	-573.0	2022-07-23 18:11:36.469883
23	963.5	1254	29	239.1	14.53	0.0	-543.0	2022-07-23 18:11:37.450227
24	915.13	1221	29	244.1	14.83	0.0	-515.0	2022-07-23 18:11:38.418075
25	903.46	1248	28	244.1	14.74	0.0	-519.0	2022-07-23 18:11:39.417143
26	882.52	1173	28	251.8	14.62	0.0	-507.0	2022-07-23 18:11:40.418448
27	894.75	1230	28	251.8	14.57	0.0	-514.0	2022-07-23 18:11:41.419743
28	901.12	1214	28	251.8	14.66	0.0	-518.0	2022-07-23 18:11:42.421590
29	904.36	1309	30	236.4	14.95	0.0	-499.0	2022-07-23 18:11:43.420944
30	894.0	1306	30	237.1	14.82	0.0	-494.0	2022-07-23 18:11:44.421951
31	892.01	1218	30	237.1	14.85	0.0	-492.0	2022-07-23 18:11:45.425000
32	889.44	1287	29	237.1	15.12	0.0	-501.0	2022-07-23 18:11:46.424301
33	823.31	1289	29	250.6	14.8	0.0	-464.0	2022-07-23 18:11:47.442658
34	907.46	1327	29	251.9	15.48	0.0	-511.0	2022-07-23 18:11:48.427343
35	893.1	1236	29	253.1	15.29	0.0	-503.0	2022-07-23 18:11:49.427534
36	899.25	1192	30	245.4	15.08	0.0	-496.0	2022-07-23 18:11:50.449018
37	888.6	1215	30	245.4	15.22	0.0	-491.0	2022-07-23 18:11:51.427943
38	900.58	1198	30	245.4	15.19	0.0	-497.0	2022-07-23 18:11:52.429212
39	888.0	1232	32	231.3	15.52	0.0	-471.0	2022-07-23 18:11:53.429674
40	900.09	1248	32	231.3	15.21	0.0	-478.0	2022-07-23 18:11:54.430989
41	903.75	1247	32	231.3	15.43	0.0	-480.0	2022-07-23 18:11:55.431140
42	898.88	1225	32	231.3	15.45	0.0	-477.0	2022-07-23 18:11:56.431769
43	886.89	1198	31	238.1	15.32	0.0	-480.0	2022-07-23 18:11:57.431961
44	896.03	1271	31	238.1	15.18	0.0	-485.0	2022-07-23 18:11:58.433597
45	910.37	1226	31	238.1	15.41	0.0	-493.0	2022-07-23 18:11:59.434256
46	871.98	1238	29	238.1	15.22	0.0	-491.0	2022-07-23 18:12:00.434477
47	911.18	1229	29	253.1	15.16	0.0	-513.0	2022-07-23 18:12:01.446791
48	888.83	1137	29	253.1	15.35	0.0	-501.0	2022-07-23 18:12:02.457857
49	897.88	1222	29	253.1	15.3	0.0	-506.0	2022-07-23 18:12:03.437777
50	844.04	1298	26	267.0	13.73	0.0	-504.0	2022-07-23 18:12:04.447300
51	910.28	1323	26	267.0	13.89	0.0	-544.0	2022-07-23 18:12:05.473904
52	904.45	1274	26	267.0	13.85	0.0	-540.0	2022-07-23 18:12:06.452465
53	840.64	1334	22	270.6	12.99	0.0	-544.0	2022-07-23 18:12:07.442969
54	888.46	1190	22	269.5	11.52	0.0	-575.0	2022-07-23 18:12:08.462177
55	899.95	1122	22	269.5	11.68	0.0	-582.0	2022-07-23 18:12:09.465403
56	909.95	1135	22	269.5	11.55	0.0	-589.0	2022-07-23 18:12:10.477658
57	817.08	1125	17	296.4	10.41	0.0	-584.0	2022-07-23 18:12:11.501999
58	719.9	1364	17	296.4	9.46	0.0	-514.0	2022-07-23 18:12:12.490007
59	718.89	4110	17	326.3	5.14	0.0	-513.0	2022-07-23 18:12:13.573371
60	760.0	6820	18	348.9	4.32	0.0	-532.0	2022-07-23 18:12:14.517926
