	curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0	361.47	13	106.8	1.47	0.0	-279.0	2022-07-29 13:48:28.574939
1	555.41	13	196.5	3.26	0.0	-429.0	2022-07-29 13:48:29.557936
2	560.0	13	255.9	3.37	0.0	-433.0	2022-07-29 13:48:30.569637
3	585.0	13	277.5	4.05	0.0	-452.0	2022-07-29 13:48:31.630369
4	555.0	13	295.2	2.62	0.0	-429.0	2022-07-29 13:48:32.585385
5	575.0	13	306.8	3.78	0.0	-444.0	2022-07-29 13:48:33.616397
6	575.0	13	313.2	3.28	0.0	-444.0	2022-07-29 13:48:34.577218
7	600.0	19	247.2	3.87	0.0	-412.0	2022-07-29 13:48:35.606217
8	835.0	19	268.3	4.9	0.0	-573.0	2022-07-29 13:48:36.605908
9	815.0	19	280.6	5.53	0.0	-559.0	2022-07-29 13:48:37.613462
10	835.0	19	284.7	5.07	0.0	-573.0	2022-07-29 13:48:38.617598
11	830.0	19	287.8	5.33	0.0	-570.0	2022-07-29 13:48:39.593449
12	830.0	19	294.8	7.35	0.0	-570.0	2022-07-29 13:48:40.549350
13	795.0	19	297.4	5.33	0.0	-546.0	2022-07-29 13:48:41.589493
14	855.0	19	299.3	4.89	0.0	-587.0	2022-07-29 13:48:42.574275
15	845.0	19	299.4	5.86	0.0	-580.0	2022-07-29 13:48:43.625541
16	820.0	19	301.7	5.21	0.0	-563.0	2022-07-29 13:48:44.597434
17	815.0	19	306.7	5.59	0.0	-559.0	2022-07-29 13:48:45.593493
18	835.0	19	307.7	7.06	0.0	-573.0	2022-07-29 13:48:46.613314
19	820.0	19	317.1	4.42	0.0	-563.0	2022-07-29 13:48:47.574168
20	840.0	19	318.0	6.79	0.0	-577.0	2022-07-29 13:48:48.655253
21	830.0	19	319.4	5.72	0.0	-570.0	2022-07-29 13:48:49.649580
22	810.0	19	320.3	5.75	0.0	-556.0	2022-07-29 13:48:50.597497
23	820.0	19	322.2	8.76	0.0	-563.0	2022-07-29 13:48:51.621569
24	835.0	19	323.2	4.97	0.0	-573.0	2022-07-29 13:48:52.593411
25	830.0	19	324.2	4.54	0.0	-570.0	2022-07-29 13:48:53.588948
26	840.0	19	325.1	7.22	0.0	-577.0	2022-07-29 13:48:54.608365
27	830.0	19	326.1	6.48	0.0	-570.0	2022-07-29 13:48:55.609669
28	835.0	19	328.8	6.79	0.0	-573.0	2022-07-29 13:48:56.621529
29	810.0	19	328.8	7.29	0.0	-556.0	2022-07-29 13:48:57.601494
30	830.0	19	329.8	6.27	0.0	-570.0	2022-07-29 13:48:58.591023
31	835.0	19	329.9	5.3	0.0	-573.0	2022-07-29 13:48:59.613663
32	810.0	19	330.9	4.87	0.0	-556.0	2022-07-29 13:49:00.605603
33	830.0	19	326.1	3.81	0.0	-570.0	2022-07-29 13:49:01.617070
34	810.0	19	326.1	3.62	0.0	-556.0	2022-07-29 13:49:02.609398
35	820.0	19	327.0	4.36	0.0	-563.0	2022-07-29 13:49:03.630484
36	820.0	19	327.8	4.81	0.0	-563.0	2022-07-29 13:49:04.629653
37	840.0	19	328.9	5.66	0.0	-577.0	2022-07-29 13:49:05.593601
38	855.0	19	329.8	5.91	0.0	-587.0	2022-07-29 13:49:06.644651
39	850.0	19	329.8	4.63	0.0	-583.0	2022-07-29 13:49:07.606627
