curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
100.0	19	45.0	1.5	0.0	0.07	2022-08-20 10:33:33.173356
840.0	19	129.3	2.97	0.0	0.58	2022-08-20 10:33:34.191450
850.0	19	179.4	9.18	0.0	0.58	2022-08-20 10:33:35.181135
910.0	19	203.9	3.85	0.0	0.62	2022-08-20 10:33:36.176775
600.0	7	279.0	1.66	0.0	0.52	2022-08-20 10:33:37.152636
345.0	7	366.4	3.07	0.0	0.3	2022-08-20 10:33:38.164366
345.0	7	384.1	3.17	0.0	0.3	2022-08-20 10:33:39.173017
335.0	7	166.5	2.83	0.0	0.29	2022-08-20 10:33:40.183785
1030.0	27	101.3	7.08	0.002593245154726158	0.58	2022-08-20 10:33:41.183130
960.0	27	110.1	7.44	0.0005130522946874657	0.56	2022-08-20 10:33:42.182214
940.0	27	110.4	8.7	0.0005794910556815319	0.55	2022-08-20 10:33:43.181299
750.0	7	155.7	2.41	0.0	0.65	2022-08-20 10:33:44.184601
325.0	7	165.1	1.75	0.0	0.28	2022-08-20 10:33:45.164748
345.0	7	173.1	1.44	0.0	0.3	2022-08-20 10:33:46.178360
335.0	7	182.0	1.49	0.0	0.29	2022-08-20 10:33:47.164567
510.0	11	181.0	2.19	0.0	0.41	2022-08-20 10:33:48.188297
535.0	11	210.5	2.43	0.0	0.43	2022-08-20 10:33:49.176882
515.0	11	236.2	3.18	0.0	0.41	2022-08-20 10:33:50.165795
715.0	20	170.3	6.03	0.0	0.48	2022-08-20 10:33:51.188780
950.0	20	193.9	6.39	0.0	0.64	2022-08-20 10:33:52.217371
920.0	20	208.2	4.3	0.0	0.62	2022-08-20 10:33:53.209245
920.0	20	221.6	5.81	0.0	0.62	2022-08-20 10:33:54.197600
400.0	7	215.0	1.47	0.0	0.35	2022-08-20 10:33:55.191956
335.0	7	221.1	1.47	0.0	0.29	2022-08-20 10:33:56.200009
335.0	7	225.9	2.47	0.0	0.29	2022-08-20 10:33:57.175737
630.0	32	78.8	7.7	0.00031486765718783825	0.33	2022-08-20 10:33:58.185953
995.0	32	71.6	7.86	0.0004179913615118621	0.52	2022-08-20 10:33:59.151030
935.0	32	65.4	7.82	0.0006820774840021826	0.49	2022-08-20 10:34:00.151316
955.0	32	60.4	7.67	0.00044602480393492996	0.5	2022-08-20 10:34:01.153409
520.0	7	134.3	1.47	0.0	0.45	2022-08-20 10:34:02.171957
340.0	7	142.6	1.36	0.0	0.3	2022-08-20 10:34:03.173281
335.0	7	151.0	1.17	0.0	0.29	2022-08-20 10:34:04.180486
425.0	11	144.7	1.61	0.0	0.34	2022-08-20 10:34:05.205064
530.0	11	183.3	2.86	0.0	0.43	2022-08-20 10:34:06.196848
515.0	11	218.6	1.86	0.0	0.41	2022-08-20 10:34:07.193413
535.0	11	239.0	2.2	0.0	0.43	2022-08-20 10:34:08.221238
1040.0	27	111.9	9.29	0.0014576690310405414	0.59	2022-08-20 10:34:09.193179
970.0	27	92.6	8.35	0.0008388751778050648	0.56	2022-08-20 10:34:10.221484
930.0	27	86.5	8.37	0.0004706002060465767	0.54	2022-08-20 10:34:11.174695
830.0	7	123.0	3.91	0.0	0.72	2022-08-20 10:34:12.196285
335.0	7	136.7	1.21	0.0	0.29	2022-08-20 10:34:13.198531
345.0	7	145.9	1.49	0.0	0.3	2022-08-20 10:34:14.191964
345.0	7	154.7	1.37	0.0	0.3	2022-08-20 10:34:15.184547
960.0	27	75.8	7.4	0.00021500752526338422	0.56	2022-08-20 10:34:16.186807
960.0	27	71.1	7.23	0.000581108907388926	0.56	2022-08-20 10:34:17.170687
925.0	27	72.1	7.78	0.0	0.54	2022-08-20 10:34:18.169834
830.0	7	127.0	2.97	0.0	0.72	2022-08-20 10:34:19.211136
350.0	7	140.1	1.27	0.0	0.3	2022-08-20 10:34:20.192456
335.0	7	147.0	1.47	0.0	0.29	2022-08-20 10:34:21.196572
340.0	7	157.4	1.59	0.0	0.3	2022-08-20 10:34:22.224486
985.0	29	81.2	8.46	8.168599901976801e-05	0.55	2022-08-20 10:34:23.201728
930.0	29	82.2	7.71	0.0006275336671812443	0.52	2022-08-20 10:34:24.182977
970.0	29	82.6	7.99	0.0	0.55	2022-08-20 10:34:25.182390
830.0	7	124.4	5.54	0.0	0.72	2022-08-20 10:34:26.220237
345.0	7	139.0	1.6	0.0	0.3	2022-08-20 10:34:27.208399
340.0	7	146.3	1.41	0.0	0.3	2022-08-20 10:34:28.203972
340.0	7	154.0	1.62	0.0	0.3	2022-08-20 10:34:29.205910
985.0	28	82.5	7.45	0.0003193740269072618	0.56	2022-08-20 10:34:30.225907
920.0	28	102.3	7.49	0.0	0.53	2022-08-20 10:34:31.215105
950.0	28	105.2	7.06	0.0003376688344172086	0.54	2022-08-20 10:34:32.212997
830.0	7	116.0	4.19	0.0	0.72	2022-08-20 10:34:33.228258
340.0	7	127.9	1.32	0.0	0.3	2022-08-20 10:34:34.243857
345.0	7	136.6	1.34	0.0	0.3	2022-08-20 10:34:35.224766
345.0	7	147.0	1.18	0.0	0.3	2022-08-20 10:34:36.232121
850.0	21	94.3	6.25	0.0	0.56	2022-08-20 10:34:37.220535
960.0	21	107.5	7.47	0.0	0.63	2022-08-20 10:34:38.254389
960.0	21	114.1	8.03	0.0	0.63	2022-08-20 10:34:39.253600
835.0	8	149.8	2.32	0.0	0.71	2022-08-20 10:34:40.232659
390.0	8	171.5	1.79	0.0	0.33	2022-08-20 10:34:41.224009
395.0	8	196.1	1.68	0.0	0.34	2022-08-20 10:34:42.248040
385.0	8	201.0	1.64	0.0	0.33	2022-08-20 10:34:43.252204
885.0	32	73.8	9.08	0.001713393276826735	0.45	2022-08-20 10:34:44.235536
